headline,date,compound_score,SA,section,abstract,keywords,url,doc_type,material_type
"Glum to Gleeful, Israeli Media React to Possible End of Netanyahu Era",2021-06-01,0.3818,"{'neg': 0.094, 'neu': 0.788, 'pos': 0.118, 'compound': 0.3818}",World,In Israel’s newspapers — as fractured as its electorate — the opinions on the possible fall of Prime Minister Benjamin Netanyahu were as emphatic as they were varied.,[],https://www.nytimes.com/2021/05/31/world/middleeast/israeli-media-netanyahu-bennett.html,article,News
Serena Williams Wins in the First Round at the French Open,2021-06-01,0.3628,"{'neg': 0.084, 'neu': 0.787, 'pos': 0.129, 'compound': 0.3628}",Sports,"Playing in a night session in Paris, Williams defeated Irina-Camelia Begu in straight sets in a brisk match that moved her along to the second round, again.","['French Open (Tennis)', 'Tennis']",https://www.nytimes.com/2021/05/31/sports/tennis/french-open-serena-williams.html,article,News
Illinois Lawmakers Bar Police From Using Deception When Interrogating Minors,2021-06-01,-0.5574,"{'neg': 0.113, 'neu': 0.839, 'pos': 0.048, 'compound': -0.5574}",U.S.,A bill that passed the General Assembly with bipartisan support on Sunday would make Illinois the first state to prohibit officers from lying when interrogating those under 18.,"['Confessions', 'State Legislatures', 'False Arrests, Convictions and Imprisonments', 'Interrogations', 'Criminal Justice', 'Youth']",https://www.nytimes.com/2021/05/31/us/Chicago-police-interrogation.html,article,News
With the Candlestick in the Study,2021-06-01,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Crosswords & Games,Finn Vigeland offers us a refreshing snack of a puzzle.,['Crossword Puzzles'],https://www.nytimes.com/2021/05/31/crosswords/daily-puzzle-2021-06-01.html,article,News
How Do Animals Safely Cross a Highway? Take a Look.,2021-06-01,0.6908,"{'neg': 0.0, 'neu': 0.867, 'pos': 0.133, 'compound': 0.6908}",Climate,"There are few things Americans can agree on these days. Wildlife crossings, it seems, are one of them.","['ANIMALS', 'Animal Migration', 'Roads and Traffic', 'Traffic Accidents and Safety', 'States (US)']",https://www.nytimes.com/interactive/2021/05/31/climate/wildlife-crossings-animals.html,multimedia,Interactive Feature
Quotation of the Day: Shops Along Ponte Vecchio Longingly Wait for Tourists,2021-06-01,0.1779,"{'neg': 0.0, 'neu': 0.955, 'pos': 0.045, 'compound': 0.1779}",Today’s Paper,"Quotation of the Day for Tuesday, June 1, 2021.",[],https://www.nytimes.com/2021/05/31/todayspaper/quotation-of-the-day-shops-along-ponte-vecchio-longingly-wait-for-tourists.html,article,Quote
"Corrections: June 1, 2021",2021-06-01,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Corrections,"Corrections that appeared in print on Tuesday, June 1, 2021.",[],https://www.nytimes.com/2021/05/31/pageoneplus/corrections-june-1-2021.html,article,Correction
Your Tuesday Briefing,2021-06-01,-0.4939,"{'neg': 0.138, 'neu': 0.862, 'pos': 0.0, 'compound': -0.4939}",Briefing,A new kind of pandemic grief.,[],https://www.nytimes.com/2021/05/31/briefing/pandemic-recovery-china-children.html,article,briefing
‘For My People’: A Transgender Woman Pursues an Olympic Dream,2021-06-01,0.25,"{'neg': 0.064, 'neu': 0.858, 'pos': 0.078, 'compound': 0.25}",Sports,"CeCe Telfer, the first openly transgender woman to win an N.C.A.A. title, is aiming to qualify for the U.S. Olympic trials in the 400-meter hurdles. Her biggest obstacle, for now, is a lack of training facilities.","['Track and Field', 'Olympic Games (2020)', 'Transgender and Transsexuals', 'Content Type: Personal Profile']",https://www.nytimes.com/2021/06/01/sports/olympics/cece-telfer-olympic-trials.html,article,News
Australia’s softball players are among the first Olympic athletes to arrive in Japan.,2021-06-01,0.1779,"{'neg': 0.0, 'neu': 0.971, 'pos': 0.029, 'compound': 0.1779}",World,"The team will be confined to one floor of a hotel as it prepares for the Tokyo Games, which are scheduled to begin July 23 despite a coronavirus outbreak and growing public opposition.","['internal-essential', 'Olympic Games', 'Softball', 'Athletics and Sports', 'Coronavirus (2019-nCoV)']",https://www.nytimes.com/2021/06/01/world/asia/australia-olympics-tokyo-japan-softball.html,article,News
