headline,date,compound_score,SA,section,abstract,keywords,url,doc_type,material_type
I Stand With the ‘She-Devils’,2018-02-01,-0.4822,"{'neg': 0.111, 'neu': 0.889, 'pos': 0.0, 'compound': -0.4822}",Opinion,"Progress on women’s rights was stalling, and then Donald Trump came along.","['Women and Girls', ""Women's Rights"", 'United States Politics and Government', '#MeToo Movement', 'Sexual Harassment', 'Elections, Senate']",https://www.nytimes.com/2018/01/31/opinion/courtland-sykes-senate-me-too.html,article,Op-Ed
Stephen Wynn to Be Investigated by Massachusetts Casino Regulators,2018-02-01,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Business Day,"Gaming regulators pledged an inquiry into the casino mogul, whose company is constructing a $2.4 billion resort outside Boston, after reports of sexual misconduct.","['Sexual Harassment', 'Casinos']",https://www.nytimes.com/2018/01/31/business/stephen-wynn-massachusetts-casino.html,article,News
$82 Million Plan for New Boilers at New York Housing Projects,2018-02-01,-0.4019,"{'neg': 0.051, 'neu': 0.949, 'pos': 0.0, 'compound': -0.4019}",New York,Mayor de Blasio proposed replacing boilers at 10 public housing projects that have chronic heating outages.,"['Heating', 'Budgets and Budgeting', 'Public and Subsidized Housing']",https://www.nytimes.com/2018/01/31/nyregion/nycha-housing-heat-boilers.html,article,News
Should Trump Nationalize a 5G Network?,2018-02-01,0.7149,"{'neg': 0.045, 'neu': 0.825, 'pos': 0.13, 'compound': 0.7149}",Opinion,"He would probably do it the wrong way. But done right, it could be a great idea.","['Nationalization of Industry', 'Computers and the Internet', 'Wireless Communications', 'Telephones and Telecommunications', 'Infrastructure (Public Works)', 'United States Politics and Government']",https://www.nytimes.com/2018/01/31/opinion/nationalize-5g-network.html,article,Op-Ed
Trump’s Environmental Rollbacks Were Fast. It Could Get Messy in Court.,2018-02-01,-0.6913,"{'neg': 0.148, 'neu': 0.799, 'pos': 0.053, 'compound': -0.6913}",Climate,"Legal experts say many were made without fully considering the laws and procedures governing changes, making them vulnerable to legal challenges.","['United States Politics and Government', 'Oil (Petroleum) and Gasoline', 'Land Use Policies', 'Monuments and Memorials (Structures)', 'Environment']",https://www.nytimes.com/2018/01/31/climate/trump-zinke-environmental-rollback.html,article,News
"Robert Pincus-Witten, Art Critic and Historian, Is Dead at 82",2018-02-01,-0.8176,"{'neg': 0.148, 'neu': 0.852, 'pos': 0.0, 'compound': -0.8176}",Obituaries,"His writing in Artforum and elsewhere helped make sense of the tempestuous 1960s and ’70s and gave art a new term, Post-Minimalism.","['Art', 'Deaths (Obituaries)']",https://www.nytimes.com/2018/01/31/obituaries/robert-pincus-witten-art-critic-and-historian-is-dead-at-82.html,article,Obituary (Obit)
"Oscar Gamble, Power Hitter With Prodigious Hair, Dies at 68",2018-02-01,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Obituaries,"In addition to his home runs, he was known for his formidable Afro — until, that is, he was traded to George Steinbrenner’s Yankees.","['Baseball', 'Hair', 'Deaths (Obituaries)']",https://www.nytimes.com/2018/01/31/obituaries/oscar-gamble-power-hitter-with-prodigious-hair-dies-at-68.html,article,Obituary (Obit)
Trump’s Birth Control Problems,2018-02-01,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Opinion,Plus: the night the porn star yawned.,"['Birth Control and Family Planning', 'ABORTION', 'United States Politics and Government']",https://www.nytimes.com/2018/01/31/opinion/trump-birth-control-problems.html,article,Op-Ed
What’s the Craziest Thing You’ve Ever Found in a Xerox Machine?,2018-02-01,0.5267,"{'neg': 0.024, 'neu': 0.904, 'pos': 0.072, 'compound': 0.5267}",Reader Center,"The bulky copiers could soon become an office relic. Tell us your stories of documents that made you laugh, blush or learn something new.","['Pentagon Papers', 'Paper and Pulp']",https://www.nytimes.com/2018/01/31/reader-center/xerox-memories.html,article,News
United States Will Hit Debt Limit Sooner Than Expected Because of Tax Cuts,2018-02-01,-0.296,"{'neg': 0.098, 'neu': 0.846, 'pos': 0.055, 'compound': -0.296}",U.S.,The Congressional Budget Office said on Wednesday that the debt limit will be hit a month earlier than it previously expected.,"['National Debt (US)', 'Federal Budget (US)', 'Tax Cuts and Jobs Act (2017)', 'United States Politics and Government']",https://www.nytimes.com/2018/01/31/us/politics/united-states-debt-limit.html,article,News
