headline,date,compound_score,SA,section,abstract,keywords,url,doc_type,material_type
How to watch the Golden Globes on TV and Online.,2021-03-01,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Movies,A quick guide to watching the ceremony.,[],https://www.nytimes.com/2021/02/28/movies/how-to-watch-the-golden-globes-on-tv-and-online.html,article,News
What will win tonight? Here are our predictions.,2021-03-01,0.7269,"{'neg': 0.045, 'neu': 0.828, 'pos': 0.127, 'compound': 0.7269}",Movies,"The Hollywood Foreign Press Association, which puts on the Golden Globes, likes to bestow its trophies on films that already have plenty of Oscar momentum, but the small size of the group — around 90 eccentric journalists who vote — leaves every category open to a shock winner.",[],https://www.nytimes.com/2021/02/28/movies/what-will-win-tonight-here-are-our-predictions.html,article,News
Daniel Kaluuya and Chadwick Boseman are both recognized for film roles.,2021-03-01,0.7506,"{'neg': 0.0, 'neu': 0.897, 'pos': 0.103, 'compound': 0.7506}",Movies,"Daniel Kaluuya won for his performance as the Black Panther leader Fred Hampton in “Judas and the Black Messiah,” while Chadwick Boseman was awarded a posthumous Globe for his role in “Ma Rainey’s Black Bottom.”","['Black People', 'Blacks', 'Actors and Actresses', 'Golden Globes (Awards)']",https://www.nytimes.com/2021/02/28/movies/daniel-kaluuya-john-boyega.html,article,News
Full Text of Cuomo’s Statement in Response to Harassment Accusations,2021-03-01,-0.8519,"{'neg': 0.197, 'neu': 0.803, 'pos': 0.0, 'compound': -0.8519}",New York,Gov. Andrew Cuomo issued a statement on Sunday in response to accusations of sexual harassment.,"['Sexual Harassment', 'Speeches and Statements']",https://www.nytimes.com/2021/02/28/nyregion/full-text-cuomos-statement-harassment-accusations.html,article,News
Forget ‘Succession.’ You Can Watch ‘90 Day Fiancé’ for 100 Hours Straight.,2021-03-01,0.7371,"{'neg': 0.032, 'neu': 0.85, 'pos': 0.119, 'compound': 0.7371}",Business Day,"Discovery’s new app has taken off largely because viewers love watching people fix houses, tour diners and bicker about their relationships.","['Mobile Applications', 'Video Recordings, Downloads and Streaming', 'Reality Television', 'Television']",https://www.nytimes.com/2021/02/28/business/media/cable-tv-streaming-discovery.html,article,News
Voter Suppression Is Grand Larceny,2021-03-01,0.7184,"{'neg': 0.0, 'neu': 0.818, 'pos': 0.182, 'compound': 0.7184}",Opinion,We are watching another theft of power.,"['Black People', 'Blacks', 'Voter Registration and Requirements', 'United States Politics and Government', 'Race and Ethnicity', 'Law and Legislation', 'Elections']",https://www.nytimes.com/2021/02/28/opinion/voter-suppression-us.html,article,Op-Ed
"CPAC Takeaways: Trump Dominates, and DeSantis and Noem Stand Out",2021-03-01,0.0516,"{'neg': 0.0, 'neu': 0.977, 'pos': 0.023, 'compound': 0.0516}",U.S.,"At their three-day gathering, pro-Trump conservatives tried to turn “cancel culture” into their new “fake news” and spent little time on policy (either their own or President Biden’s).","['Presidential Election of 2020', 'Voter Fraud (Election Fraud)']",https://www.nytimes.com/2021/02/28/us/politics/cpac-trump-kristi-noem.html,article,News
Golden Globes Winners 2021: The Complete List,2021-03-01,0.8591,"{'neg': 0.0, 'neu': 0.796, 'pos': 0.204, 'compound': 0.8591}",Movies,"Here are the winning films, TV shows, actors and production teams at the 2021 Golden Globe Awards.","['Movies', 'Actors and Actresses', 'Television', 'Golden Globes (Awards)']",https://www.nytimes.com/2021/02/28/movies/golden-globes-winners-list.html,article,News
Daniel Kaluuya overcomes the first hiccup of the night.,2021-03-01,0.8561,"{'neg': 0.04, 'neu': 0.767, 'pos': 0.193, 'compound': 0.8561}",Movies,"Accepting the award for best supporting actor in a film for his role in “Judas and the Black Messiah,” his remote speech was initially muted.","['Black People', 'Blacks', 'Movies', 'Golden Globes (Awards)']",https://www.nytimes.com/2021/02/28/movies/daniel-kaluuya-best-supporting-actor.html,article,News
Transcript: Amy Poehler and Tina Fey skewer the H.F.P.A.’s lack of diversity.,2021-03-01,-0.3182,"{'neg': 0.051, 'neu': 0.949, 'pos': 0.0, 'compound': -0.3182}",Movies,"From opposite coasts, their split-screen opening of the Golden Globes took on the turn to streaming in the pandemic.","['Golden Globes (Awards)', 'Movies']",https://www.nytimes.com/2021/02/28/movies/tina-fey-amy-poehler-golden-globes.html,article,News
