headline,date,compound_score,SA,section,abstract,keywords,url,doc_type,material_type
This Should Be Biden’s Bumper Sticker,2020-07-01,0.7717,"{'neg': 0.0, 'neu': 0.843, 'pos': 0.157, 'compound': 0.7717}",Opinion,"He will need a simple, clear message to counter Trump’s “Make America Great Again” trope.","['Presidential Election of 2020', 'Coronavirus (2019-nCoV)', 'United States Politics and Government']",https://www.nytimes.com/2020/06/30/opinion/biden-trump-respect.html,article,Op-Ed
"Corrections: July 1, 2020",2020-07-01,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Corrections,"Corrections that appeared in print on Wednesday, July 1, 2020.",[],https://www.nytimes.com/2020/06/30/pageoneplus/corrections-july-1-2020.html,article,Correction
Why Does Trump Put Russia First?,2020-07-01,-0.6249,"{'neg': 0.16, 'neu': 0.78, 'pos': 0.06, 'compound': -0.6249}",Opinion,It’s exceedingly difficult to believe that no one told the president about the intelligence on Russian efforts to harm Americans in Afghanistan.,"['United States Politics and Government', 'United States Defense and Military Forces', 'United States International Relations', 'Afghanistan War (2001- )', 'Espionage and Intelligence Services']",https://www.nytimes.com/2020/06/30/opinion/trump-russia-afghanistan.html,article,Op-Ed
Senate Approves Extending Small-Business Program,2020-07-01,0.5719,"{'neg': 0.0, 'neu': 0.875, 'pos': 0.125, 'compound': 0.5719}",U.S.,The Senate granted five additional weeks for the remaining money left in the program to be spent.,"['Coronavirus Aid, Relief, and Economic Security Act (2020)', 'Small Business', 'United States Politics and Government', 'Coronavirus (2019-nCoV)', 'United States Economy']",https://www.nytimes.com/2020/06/30/us/politics/ppp-extension.html,article,News
Quotation of the Day: The Fight Over Abortion Rights Feels Less Urgent for a Generation,2020-07-01,-0.2716,"{'neg': 0.063, 'neu': 0.9, 'pos': 0.037, 'compound': -0.2716}",Today’s Paper,"Quotation of the Day for Wednesday, July 1, 2020.",[],https://www.nytimes.com/2020/06/30/todayspaper/quotation-of-the-day-the-fight-over-abortion-rights-feels-less-urgent-for-a-generation.html,article,Quote
"Tulsa Police Sergeant, One of Two Officers Shot During Traffic Stop, Dies",2020-07-01,-0.9118,"{'neg': 0.244, 'neu': 0.756, 'pos': 0.0, 'compound': -0.9118}",U.S.,"David Anthony Ware was charged with first-degree murder in the death of Sgt. Craig Johnson, the authorities said.","['Murders, Attempted Murders and Homicides']",https://www.nytimes.com/2020/06/30/us/Tulsa-police-officer-killed.html,article,News
Connections on Air France,2020-07-01,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Crosswords & Games,Amanda Rafkin and Ross Trudeau take flight.,['Crossword Puzzles'],https://www.nytimes.com/2020/06/30/crosswords/daily-puzzle-2020-07-01.html,article,News
Mississippi Governor Signs Law to Remove Flag With Confederate Emblem,2020-07-01,-0.3818,"{'neg': 0.048, 'neu': 0.952, 'pos': 0.0, 'compound': -0.3818}",U.S.,"The state flag, which features the blue bars and white stars of the Confederate battle flag, had flown over Mississippi for 126 years. It must be removed within 15 days.","['Flags, Emblems and Insignia', 'George Floyd Protests (2020)', 'Black Lives Matter Movement', 'Civil War (US) (1861-65)', 'Law and Legislation']",https://www.nytimes.com/2020/06/30/us/mississippi-flag.html,article,News
Eight Police Officers in Louisiana Face Charges of Excessive Force,2020-07-01,-0.6908,"{'neg': 0.122, 'neu': 0.878, 'pos': 0.0, 'compound': -0.6908}",U.S.,"A driver and his passenger had their hands raised after a police pursuit but wound up with broken bones, a district attorney said.","['Police Brutality, Misconduct and Shootings']",https://www.nytimes.com/2020/06/30/us/louisiana-police-violence-excessive-force.html,article,News
"Harsh Penalties, Vaguely Defined Crimes: Hong Kong’s Security Law Explained",2020-07-01,-0.3291,"{'neg': 0.091, 'neu': 0.857, 'pos': 0.052, 'compound': -0.3291}",World,"The legislation grants Beijing broad powers to crack down on a variety of political crimes, including meting out life imprisonment for “grave” offenses. But the law is rife with ambiguities.","['Law and Legislation', 'Hong Kong Protests (2019)', 'Secession and Independence Movements', 'Politics and Government', 'International Relations']",https://www.nytimes.com/2020/06/30/world/asia/hong-kong-security-law-explain.html,article,News
Jared Kushner Makes Trump Campaign Change After Rally Fiasco,2020-07-01,0.128,"{'neg': 0.029, 'neu': 0.933, 'pos': 0.038, 'compound': 0.128}",U.S.,"After thousands of empty seats at the president’s rally in Tulsa, Okla., his son-in-law moved Michael Glassner, an original Trump campaign hire in 2015, from his role of chief operating officer.",['Presidential Election of 2020'],https://www.nytimes.com/2020/06/30/us/politics/trump-campaign-change-jared-kushner.html,article,News
"Lauren Boebert, Gun-Rights Activist, Upsets House G.O.P. Incumbent in Colorado",2020-07-01,-0.743,"{'neg': 0.13, 'neu': 0.87, 'pos': 0.0, 'compound': -0.743}",U.S.,"The political novice, who has defied pandemic restrictions to keep her restaurant open and has spoken approvingly of the QAnon conspiracy theory, challenged Scott Tipton on his conservative credentials.","['United States Politics and Government', 'Elections, House of Representatives']",https://www.nytimes.com/2020/06/30/us/lauren-boebert-colorado.html,article,News
"Europe Travel, Hong Kong Law, Russia: Your Wednesday Briefing",2020-07-01,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Briefing,Here’s what you need to know.,[],https://www.nytimes.com/2020/07/01/briefing/europe-travel-hong-kong-law-russia.html,article,briefing
What’s on TV Wednesday: ‘Gloria: A Life’ and ‘My Spy’,2020-07-01,0.5994,"{'neg': 0.0, 'neu': 0.896, 'pos': 0.104, 'compound': 0.5994}",Arts,A biographical play about Gloria Steinem is streaming on PBS.org. And Dave Bautista gets a pint-size protégé in the comedy “My Spy.”,"['Television', 'Movies']",https://www.nytimes.com/2020/07/01/arts/television/whats-on-tv-wednesday-gloria-a-life-and-my-spy.html,article,News
America and Europe Are Split on China. They Must Come Together.,2020-07-01,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Opinion,The West sorely needs to be more strategic.,[],https://www.nytimes.com/2020/07/01/opinion/europe-china-united-states.html,article,Op-Ed
Who Wants to Go to Fashion School in a Pandemic?,2020-07-01,0.4137,"{'neg': 0.04, 'neu': 0.847, 'pos': 0.113, 'compound': 0.4137}",Fashion & Style,The coronavirus has triggered travel bans that could result in a significant drop in enrollment at top art and design schools.,"['Fashion and Apparel', 'Education (K-12)', 'Colleges and Universities', 'Layoffs and Job Reductions', 'Shutdowns (Institutional)']",https://www.nytimes.com/2020/07/01/fashion/who-wants-to-go-to-fashion-school-in-a-pandemic.html,article,News
Do Empty Stadiums Affect Outcomes? The Data Says Yes,2020-07-01,0.128,"{'neg': 0.063, 'neu': 0.882, 'pos': 0.055, 'compound': 0.128}",Sports,"When the Bundesliga resumed its season without fans, it became a valuable laboratory. Other leagues should take note of what it learned.","['Soccer', 'Coronavirus (2019-nCoV)']",https://www.nytimes.com/2020/07/01/sports/soccer/soccer-without-fans-germany-data.html,article,News
