song,artist
Peaches,Justin Bieber Featuring Daniel Caesar & Giveon
Todo de Ti,Rauw Alejandro
Drinkin' Beer. Talkin' God. Amen.,Chase Rice Featuring Florida Georgia Line
Your Heart,Joyner Lucas & J. Cole
Summer Of Love,Shawn Mendes & Tainy
Waves,Luke Bryan
Life Support,YoungBoy Never Broke Again
Bad Morning,YoungBoy Never Broke Again
Intro (Hate On Me),Meek Mill
Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert
Butter,BTS
Hot,Meek Mill Featuring Moneybagg Yo
Expensive Pain,Meek Mill
On My Soul,Meek Mill
Blue Note$ II,Meek Mill Featuring Lil Uzi Vert
Outside (100 MPH),Meek Mill
Last One Standing,"Skylar Grey, Polo G, Mozzy & Eminem"
The Feels,TWICE
Me (FWM),Meek Mill Featuring A$AP Ferg
Love Train,Meek Mill
Feelin Like Tunechi,Lil Wayne Featuring Rich The Kid
Ride For You,Meek Mill Featuring Kehlani
TSU,Drake
Love All,Drake Featuring JAY-Z
No Where,YoungBoy Never Broke Again
On My Side,YoungBoy Never Broke Again
Things A Man Oughta Know,Lainey Wilson
Hold Me Down,YoungBoy Never Broke Again
50 Shots,YoungBoy Never Broke Again
Smoke Strong,YoungBoy Never Broke Again
Break Or Make Me,YoungBoy Never Broke Again
Sincerely,YoungBoy Never Broke Again
I Can't Take It Back,YoungBoy Never Broke Again
Rumors,Lizzo Featuring Cardi B
Forgiato,YoungBoy Never Broke Again
Rich Shit,YoungBoy Never Broke Again
N 2 Deep,Drake Featuring Future
Baddest Thing,YoungBoy Never Broke Again
Pipe Down,Drake
Papi's Home,Drake
Toxic Punk,YoungBoy Never Broke Again
Moon,Kanye West
Wildest Dreams (Taylor's Version),Taylor Swift
Arcade,Duncan Laurence
Scoop,Lil Nas X Featuring Doja Cat
Dolla Sign Slime,Lil Nas X Featuring Megan Thee Stallion
Lonely,DaBaby X Lil Wayne
Dead Right Now,Lil Nas X
Tales Of Dominica,Lil Nas X
One Of Me,Lil Nas X Featuring Elton John
Race My Mind,Drake
Lost In The Citadel,Lil Nas X
Sun Goes Down,Lil Nas X
7am On Bridle Path,Drake
Off The Grid,Kanye West
Skate,Silk Sonic (Bruno Mars & Anderson .Paak)
Am I Dreaming,Lil Nas X Featuring Miley Cyrus
Don't Go Yet,Camila Cabello
Country Again,Thomas Rhett
Range Brothers,Baby Keem & Kendrick Lamar
IMY2,Drake Featuring Kid Cudi
Yebba's Heartbreak,Drake & Yebba
Get Along Better,Drake Featuring Ty Dolla $ign
You Only Live Twice,Drake Featuring Lil Wayne & Rick Ross
Lalisa,Lisa
Fountains,Drake Featuring Tems
Single Saturday Night,Cole Swindell
We Didn't Have Much,Justin Moore
Jail,Kanye West
Fucking Fans,Drake
The Remorse,Drake
Ok Ok,Kanye West
Junya,Kanye West
Believe What I Say,Kanye West
Jonah,Kanye West
Jesus Lord,Kanye West
Motley Crew,Post Malone
Remote Control,Kanye West
God Breathed,Kanye West
Heartbreak Anniversary,Giveon
Forever After All,Luke Combs
Heaven And Hell,Kanye West
24,Kanye West
Pure Souls,Kanye West
No Child Left Behind,Kanye West
Donda,Kanye West
Keep My Spirit Alive,Kanye West
Jail Pt 2,Kanye West
"I Am Not A Woman, I'm A God",Halsey
New Again,Kanye West
Lord I Need You,Kanye West
Come To Life,Kanye West
Tell The Vision,Kanye West
Brutal,Olivia Rodrigo
AM,Nio Garcia X J Balvin X Bad Bunny
Repeat It,Lil Tecca & Gunna
Matt Hardy 999,Trippie Redd Featuring Juice WRLD
Blinding Lights,The Weeknd
Glad You Exist,Dan + Shay
Without You,The Kid LAROI
Astronaut In The Ocean,Masked Wolf
Rapstar,Polo G
Famous Friends,Chris Young + Kane Brown
Lil Bit,Nelly & Florida Georgia Line
Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion
Already Won,Rod Wave Featuring Lil Durk
Betrayal,Trippie Redd Featuring Drake
Don't Go,"Skrillex, Justin Bieber & Don Toliver"
Tombstone,Rod Wave
Visiting Hours,Ed Sheeran
Holy Smokes,Trippie Redd Featuring Lil Uzi Vert
Miss The Rage,Trippie Redd & Playboi Carti
You,Regard x Troye Sivan x Tate McRae
MP5,Trippie Redd Featuring SoFaygo
Paralyzed,Sueco
I Guess I'm In Love,Clinton Kane
Get Ready,Rod Wave Featuring Kodak Black
Danny Phantom,Trippie Redd Featuring XXXTENTACION
What's Wrong,Rod Wave
Demon Time,Trippie Redd Featuring Ski Mask The Slump God
Tick Tock,Young Thug
Permission To Dance,BTS
Time Heals,Rod Wave
Mind Of Melvin,YNW Melly Featuring Lil Uzi Vert
Papercuts,Machine Gun Kelly
SUVs (Black On Black),Jack Harlow & Pooh Shiesty
Straightenin,Migos
Blame It On You,Jason Aldean
Hats Off,"Lil Baby, Lil Durk & Travis Scott"
Over The Top,Smiley Featuring Drake
Brainwashed,Tom MacDonald
my.life,"J. Cole, 21 Savage & Morray"
WUSYANAME,"Tyler, The Creator Featuring YoungBoy Never Broke Again & Ty Dolla $ign"
Favorite Crime,Olivia Rodrigo
Outside,MO3 X OG Bobby Billions
Ball If I Want To,DaBaby
Next Girl,Carly Pearce
I Like Dat,T-Pain & Kehlani
Steal My Love,Dan + Shay
5500 Degrees,"EST Gee Featuring Lil Baby, 42 Dugg & Rylo Rodriguez"
Telepatia,Kali Uchis
My Ex's Best Friend,Machine Gun Kelly X blackbear
NDA,Billie Eilish
EPMD 2,Nas Featuring Eminem & EPMD
Lose,KSI x Lil Wayne
I Hope Ur Miserable Until Ur Dead,Nessa Barrett
Happier,Olivia Rodrigo
Twerkulator,City Girls
Fiel,"Los Legendarios, Wisin & Jhay Cortez"
Rare,Nas
Mood,24kGoldn Featuring iann dior
One Too Many,Keith Urban Duet With P!nk
Getting Older,Billie Eilish
Billie Bossa Nova,Billie Eilish
Oxytocin,Billie Eilish
I Didn't Change My Number,Billie Eilish
Way Less Sad,AJR
Lost Cause,Billie Eilish
Halley's Comet,Billie Eilish
My Future,Billie Eilish
Build A Bitch,Bella Poarch
From The Garden,Isaiah Rashad Featuring Lil Uzi Vert
Working,Tate McRae X Khalid
Wants And Needs,Drake Featuring Lil Baby
Settling Down,Miranda Lambert
Gone,Dierks Bentley
Red Light Green Light,DaBaby
Better Believe,"Belly, The Weeknd & Young Thug"
Lick Back,EST Gee
Ski,Young Thug & Gunna
Minimum Wage,Blake Shelton
Still Chose You,The Kid LAROI Featuring Mustard
Drivers License,Olivia Rodrigo
pov,Ariana Grande
Bout A Million,Pop Smoke Featuring 21 Savage & 42 Dugg
More Time,Pop Smoke
transparentsoul,Willow Featuring Travis Barker
Am I The Only One,Aaron Lewis
30,Pop Smoke Featuring Bizzy Banks
"Jealousy, Jealousy",Olivia Rodrigo
Calling My Phone,Lil Tjay Featuring 6LACK
Breaking Up Was Easy In The 90's,Sam Hunt
The Jackie,Bas With J. Cole & Lil TJay
Follow You,Imagine Dragons
Volando,"Mora, Bad Bunny & Sech"
4 Da Gang,42 Dugg & Roddy Ricch
De Museo,Bad Bunny
Wasting Time,Brent Faiyaz Featuring Drake
All I Know So Far,P!nk
Track Star,Mooski
Cry No More,G Herbo Featuring Polo G & Lil Tjay
Essence,Wizkid Featuring Tems
Made For You,Jake Owen
Having Our Way,Migos Featuring Drake
What's Next,Drake
Enough For You,Olivia Rodrigo
Tell Em,Cochise & $NOT
Lumberjack,"Tyler, The Creator"
Almost Maybes,Jordan Davis
Hot Wind Blows,"Tyler, The Creator Featuring Lil Wayne"
Corso,"Tyler, The Creator"
I Don't Do Drugs,Doja Cat Featuring Ariana Grande
Sir Baudelaire,"Tyler, The Creator Featuring DJ Drama"
Sweet / I Thought You Wanted To Dance,"Tyler, The Creator Featuring Brent Faiyaz & Fana Hues"
Massa,"Tyler, The Creator"
RunItUp,"Tyler, The Creator Featuring Teezo Touchdown"
Wilshire,"Tyler, The Creator"
What You Know Bout Love,Pop Smoke
Time Today,Moneybagg Yo
Up,Cardi B
Beat Box,SpotemGottem Featuring Pooh Shiesty Or DaBaby
Nobody,Dylan Scott
No Return,Polo G Featuring The Kid LAROI & Lil Durk
No More Parties,Coi Leray Featuring Lil Durk
Quicksand,Morray
Gang Gang,Polo G & Lil Wayne
Pick Up Your Feelings,Jazmine Sullivan
Avalanche,Migos
We're Good,Dua Lipa
pride.is.the.devil,J. Cole & Lil Baby
Still Runnin,"Lil Baby, Lil Durk & Meek Mill"
How It Feels,Lil Baby & Lil Durk
Black Hearted,Polo G
Painting Pictures,Polo G
Modern Day,Migos
Toxic,Polo G
Solar Power,Lorde
Malibu,Migos Featuring Polo G
Type Shit,Migos & Cardi B
Clueless,Polo G Featuring Pop Smoke & Fivio Foreign
Voice Of The Heroes,Lil Baby & Lil Durk
Heart Of A Giant,Polo G Featuring Rod Wave
Party Lyfe,Polo G Featuring DaBaby
Go Part 1,Polo G Featuring G Herbo
Epidemic,Polo G
Boom,Polo G
2040,Lil Baby & Lil Durk
"1 Step Forward, 3 Steps Back",Olivia Rodrigo
Bloody Canvas,Polo G
Who I Want,Lil Baby & Lil Durk
Back In Blood,Pooh Shiesty Featuring Lil Durk
Still Hood,Lil Baby & Lil Durk
Okay,Lil Baby & Lil Durk
Man Of My Word,Lil Baby & Lil Durk
Medical,Lil Baby & Lil Durk
Rich Off Pain,"Lil Baby, Lil Durk & Rod Wave"
Lying,Lil Baby & Lil Durk
Snowflakes,Tom MacDonald
That's Facts,Lil Baby & Lil Durk
Your Power,Billie Eilish
Please,Lil Baby & Lil Durk
Up The Side,"Lil Baby, Lil Durk & Young Thug"
Hope Ur OK,Olivia Rodrigo
If You Want To,Lil Baby & Lil Durk
Seeing Green,"Nicki Minaj, Drake & Lil Wayne"
The Good Ones,Gabby Barrett
Hell Of A View,Eric Church
On Me,Lil Baby
Killer,Eminem Featuring Jack Harlow & Cordae
amari,J. Cole
Goosebumps,Travis Scott & HVME
Solid,Young Thug & Gunna Featuring Drake
Hello,Pop Smoke Featuring A Boogie Wit da Hoodie
The Business,Tiesto
95.south,J. Cole
Drankin N Smokin,Future & Lil Uzi Vert
Hold On,Justin Bieber
Wasted On You,Morgan Wallen
Botella Tras Botella,Gera MX + Christian Nodal
interlude,J. Cole
applying.pressure,J. Cole
Streets,Doja Cat
100.mil',J. Cole & Bas
let.go.my.hand,"J. Cole, Bas & 6LACK"
24 Hours,A Boogie Wit da Hoodie Featuring Lil Durk
punchin'.the.clock,J. Cole
the.climb.back,J. Cole
hunger.on.hillside,J. Cole & Bas
close,J. Cole
Fractions,Nicki Minaj
His & Hers,"Internet Money, Don Toliver & Lil Uzi Vert Featuring Gunna"
White Teeth,YoungBoy Never Broke Again
Itty Bitty Piggy,Nicki Minaj
Street Runner,Rod Wave
La Noche de Anoche,Bad Bunny & Rosalia
Shottas (Lala),Moneybagg Yo
Never Left,Lil Tecca
Higher Power,Coldplay
Lady,Brett Young
Crocodile Teeth,Nicki Minaj & Skillibeng
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion
" 2013 (Lost song)""""Dissect // Freestyle"""" ÃÂÃÂÃÂÃÂ¢ÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ May 20"," 2013""""Poison"""" ÃÂÃÂÃÂÃÂ¢ÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ May 26"
Positions,Ariana Grande
You Broke Me First.,Tate McRae
Dakiti,Bad Bunny & Jhay Cortez
You're Mines Still,Yung Bleu Featuring Drake
Therefore I Am,Billie Eilish
What's Your Country Song,Thomas Rhett
Good Days,SZA
Just The Way,Parmalee x Blanco Brown
Ramen & OJ,Joyner Lucas & Lil Baby
Down To One,Luke Bryan
Hard For The Next,Moneybagg Yo & Future
What You Need,Don Toliver
I Did It,"DJ Khaled Featuring Post Malone, Megan Thee Stallion, Lil Baby & DaBaby"
Tampa,Cico P
Big Gangsta,Kevin Gates
Hellcats & Trackhawks,Lil Durk
Richer,Rod Wave Featuring Polo G
Headshot,"Lil Tjay, Polo G & Fivio Foreign"
Go!,Moneybagg Yo Featuring BIG30
Without You,The Kid LAROI & Miley Cyrus
Go Crazy,Chris Brown & Young Thug
34+35,Ariana Grande
Sorry Not Sorry,"DJ Khaled Featuring Nas, JAY-Z & James Fauntleroy"
Somebody Like That,Tenille Arts
Body In Motion,"DJ Khaled Featuring Bryson Tiller, Lil Baby & Roddy Ricch"
Durag Activity,Baby Keem & Travis Scott
Final Warning,NLE Choppa
If Pain Was A Person,Moneybagg Yo
Thankful,DJ Khaled Featuring Lil Wayne & Jeremih
For The Night,Pop Smoke Featuring Lil Baby & DaBaby
Willow,Taylor Swift
Damage,H.E.R.
Free Promo,Moneybagg Yo Featuring Polo G & Lil Durk
Just Say Det,Moneybagg Yo
Anyone,Justin Bieber
My Head And My Heart,Ava Max
How They Remember You,Rascal Flatts
Masterpiece,DaBaby
Long Live,Florida Georgia Line
Clear Da Air,Moneybagg Yo
Save Your Tears,The Weeknd
Starting Over,Chris Stapleton
Diamonds Dancing,Young Thug & Gunna Featuring Travis Scott
Cry Baby,Megan Thee Stallion Featuring DaBaby
Came And Saw,Young Thug Featuring Rowdy Rebel
Paid The Fine,Young Thug & Gunna Featuring Lil Baby & YTB Trench
Momma's House,Dustin Lynch
Mr. Perfectly Fine (Taylor's Version) (From The Vault),Taylor Swift
Run It Up,Lil Tjay Featuring Offset & Moneybagg Yo
You Got It,VEDO
Slatty,Young Thug & Gunna Featuring Yak Gotti & Lil Duke
Ruff Ryders' Anthem,DMX
Party Up (Up In Here),DMX
X Gon' Give It To Ya,DMX
Love Story (Taylor's Version),Taylor Swift
Forever & Always (Taylor's Version),Taylor Swift
Fearless (Taylor's Version),Taylor Swift
You All Over Me (Taylor's Version) (From The Vault),Taylor Swift Featuring Maren Morris
You Belong With Me (Taylor's Version),Taylor Swift
Shy Away,twenty one pilots
Fifteen (Taylor's Version),Taylor Swift
Big Purr (Prrdd),Coi Leray & Pooh Shiesty
Met Him Last Night,Demi Lovato Featuring Ariana Grande
The Way I Loved You (Taylor's Version),Taylor Swift
Dancing With The Devil,Demi Lovato
Real As It Gets,Lil Baby Featuring EST Gee
Put Your Records On,Ritt Momney
Whoopty,CJ
Lemon Pepper Freestyle,Drake Featuring Rick Ross
Film Out,BTS
Body,Megan Thee Stallion
As I Am,Justin Bieber Featuring Khalid
Girl Like Me,Black Eyed Peas X Shakira
Buss It,Erica Banks
Dynamite,BTS
SoulFly,Rod Wave
Gone Till November,Rod Wave
Don't Forget,Rod Wave
Blame On You,Rod Wave
All I Got,Rod Wave
Pills & Billz,Rod Wave
How The Game Go,Rod Wave
OMDB,Rod Wave
Clouds,NF
What's Love??,Rod Wave
Shock Da World,Rod Wave
Sneaky Links,Rod Wave
Better Together,Luke Combs
Good Time,Niko Moon
Unstable,Justin Bieber Featuring The Kid LAROI
Off My Face,Justin Bieber
2 Much,Justin Bieber
Deserve You,Justin Bieber
Die For You,Justin Bieber Featuring Dominic Fike
Love You Different,Justin Bieber Featuring BEAM
Loved By You,Justin Bieber Featuring Burna Boy
Somebody,Justin Bieber
Neighbors,Pooh Shiesty Featuring BIG30
Bandido,Myke Towers & Juhn
Beers And Sunshine,Darius Rucker
Throat Baby (Go Baby),BRS Kash
On The Ground,ROSE
Baila Conmigo,Selena Gomez With Rauw Alejandro
Like I Want You,Giveon
Daywalker!,Machine Gun Kelly & CORPSE
Opp Stoppa,YBN Nahmir Featuring 21 Savage
Still Trappin',Lil Durk & King Von
Finesse Out The Gang Way,Lil Durk Featuring Lil Baby
Undivided,Tim McGraw & Tyler Hubbard
Golden,Harry Styles
Lifestyle,Jason Derulo Featuring Adam Levine
Moonwalking In Calabasas,DDG
Tyler Herro,Jack Harlow
Somebody's Problem,Morgan Wallen
Cover Me Up,Morgan Wallen
Life's A Mess II,"Juice WRLD, Clever & Post Malone"
AP,Pop Smoke
I Hope,Gabby Barrett Featuring Charlie Puth
Bang!,AJR
Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV
Lonely,Justin Bieber & benny blanco
Laugh Now Cry Later,Drake Featuring Lil Durk
Only Wanna Be With You,Post Malone
Hole In The Bottle,Kelsea Ballerini
Bichota,Karol G
Test Drive,Ariana Grande
Hit Bout It,Lil Yachty Featuring Kodak Black
Chicken Tendies,Clinton Kane
ZaZa,6ix9ine
Afterglow,Ed Sheeran
Monster,Shawn Mendes & Justin Bieber
Before You Go,Lewis Capaldi
What It Feels Like,Nipsey Hussle & JAY-Z
So Done,The Kid LAROI
Happy Does,Kenny Chesney
"Big, Big Plans",Chris Lane
Back To The Streets,Saweetie Featuring Jhene Aiko
Bad Boy,Juice WRLD & Young Thug
Kings & Queens,Ava Max
Rockstar,DaBaby Featuring Roddy Ricch
GNF (OKOKOK),Polo G
Provide,G-Eazy Featuring Chris Brown & Mark Morrison
865,Morgan Wallen
Box Of Churches,Pooh Shiesty Featuring 21 Savage
Dangerous,Morgan Wallen
Warning,Morgan Wallen
Still Goin Down,Morgan Wallen
Skin,Sabrina Carpenter
7 Summers,Morgan Wallen
More Than My Hometown,Morgan Wallen
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne"
Should've Ducked,Lil Durk Featuring Pooh Shiesty
Diamonds,Sam Smith
Gravity,"Brent Faiyaz & DJ Dahi Featuring Tyler, The Creator"
Holiday,Lil Nas X
Stay Down,"Lil Durk, 6LACK & Young Thug"
Kanye Krazy,Lil Durk
Backdoor,Lil Durk
Fake Woke,Tom MacDonald
Mr. Right Now,21 Savage & Metro Boomin Featuring Drake
Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo
Lo Vas A Olvidar,Billie Eilish & ROSALIA
Take You Dancing,Jason Derulo
Hit Different,SZA Featuring Ty Dolla $ign
Champagne Night,Lady A
Kacey Talk,YoungBoy Never Broke Again
Adderall (Corvette Corvette),Popp Hunna
Antes,Anuel AA & Ozuna
I Should Probably Go To Bed,Dan + Shay
WAP,Cardi B Featuring Megan Thee Stallion
Love You Like I Used To,Russell Dickerson
De Una Vez,Selena Gomez
Better Days,Ant Clemons Featuring Justin Timberlake
Hawai,Maluma & The Weeknd
B.S.,Jhene Aiko Featuring H.E.R.
Neon Eyes,Morgan Wallen
More Surprised Than Me,Morgan Wallen
Livin' The Dream,Morgan Wallen
Whiskey'd My Way,Morgan Wallen
Your Bartender,Morgan Wallen
Outlaw,Morgan Wallen Featuring Ben Burgess
Only Thing That's Gone,Morgan Wallen Featuring Chris Stapleton
This Bar,Morgan Wallen
Wonderin' Bout The Wind,Morgan Wallen
Girl Like Me,Jazmine Sullivan Featuring H.E.R.
Midnight Sky,Miley Cyrus
Happy Anywhere,Blake Shelton Featuring Gwen Stefani
Pretty Heart,Parker McCollum
Watermelon Sugar,Harry Styles
Ain't Always The Cowboy,Jon Pardi
Way Out,Jack Harlow Featuring Big Sean
Some Girls,Jameson Rodgers
Took Her To The O,King Von
Wonder,Shawn Mendes
Everywhere But On,Matt Stell
Reminds Me Of You,The Kid LAROI & Juice WRLD
All I Want For Christmas Is You,Mariah Carey
Rockin' Around The Christmas Tree,Brenda Lee
Jingle Bell Rock,Bobby Helms
A Holly Jolly Christmas,Burl Ives
It's The Most Wonderful Time Of The Year,Andy Williams
Run Rudolph Run,Chuck Berry
Feliz Navidad,Jose Feliciano
"Let It Snow, Let It Snow, Let It Snow",Dean Martin
The Christmas Song (Merry Christmas To You),Nat King Cole
Underneath The Tree,Kelly Clarkson
Redman,Lil Durk
Slay3r,Playboi Carti
Go2DaMoon,Playboi Carti Featuring Kanye West
Refugee,Lil Durk
Take Me Home For Christmas,Dan + Shay
Vamp Anthem,Playboi Carti
New N3on,Playboi Carti
Death Ain't Easy,Lil Durk
Last Christmas,Wham!
Sleigh Ride,The Ronettes
It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra
Rudolph The Red-Nosed Reindeer,Gene Autry
Santa Tell Me,Ariana Grande
Happy Holiday / The Holiday Season,Andy Williams
Christmas (Baby Please Come Home),Darlene Love
White Christmas,Bing Crosby
(There's No Place Like) Home For The Holidays,Perry Como
It's Beginning To Look A Lot Like Christmas,Michael Buble
Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry
Wonderful Christmastime,Paul McCartney
"You're A Mean One, Mr. Grinch",Thurl Ravenscroft
Blue Christmas,Elvis Presley
Mele Kalikimaka (Merry Christmas),Bing Crosby & The Andrews Sisters
This Christmas,Donny Hathaway
Deck The Halls,Nat King Cole
Please Come Home For Christmas,Eagles
Santa Claus Is Comin' To Town,Jackson 5
Little Saint Nick,The Beach Boys
Have Yourself A Merry Little Christmas,Michael Buble
I'll Be Home For Christmas,Bing Crosby
Hallelujah,Carrie Underwood & John Legend
Gnat,Eminem
Rockin' Around The Christmas Tree,Justin Bieber
Favorite Time Of Year,Carrie Underwood
Under The Mistletoe,Kelly Clarkson & Brett Eldredge
Champagne Problems,Taylor Swift
The First Noel,Gabby Barrett
Tequila Shots,Kid Cudi
'Tis The Damn Season,Taylor Swift
Silent Night,Carrie Underwood
"No Body, No Crime",Taylor Swift Featuring HAIM
Gold Rush,Taylor Swift
Tolerate It,Taylor Swift
She Knows This,Kid Cudi
Happiness,Taylor Swift
Show Out,"Kid Cudi, Skepta & Pop Smoke"
Evermore,Taylor Swift Featuring Bon Iver
Ivy,Taylor Swift
Another Day,Kid Cudi
Dorothea,Taylor Swift
Long Story Short,Taylor Swift
Cowboy Like Me,Taylor Swift
Marjorie,Taylor Swift
Mr. Solo Dolo III,Kid Cudi
Dive,Kid Cudi
Closure,Taylor Swift
Heaven On Earth,Kid Cudi
Sad People,Kid Cudi
Damaged,Kid Cudi
Errbody,Lil Baby
Beautiful Trip,Kid Cudi
Real Shit,Juice WRLD x benny blanco
Dicked Down In Dallas,Trey Lewis
Oh Santa!,Mariah Carey Featuring Ariana Grande & Jennifer Hudson
Don't Stop,Megan Thee Stallion Featuring Young Thug
Life Goes On,BTS
Martin & Gina,Polo G
Heather,Conan Gray
Practice,DaBaby
Te Mudaste,Bad Bunny
Be Like That,Kane Brown With Swae Lee & Khalid
ily,Surf Mesa Featuring Emilee
Said Sum,Moneybagg Yo
Yo Visto Asi,Bad Bunny
Haciendo Que Me Amas,Bad Bunny
Te Deseo Lo Mejor,Bad Bunny
Booker T,Bad Bunny
El Mundo Es Mio,Bad Bunny
Hoy Cobre,Bad Bunny
Maldita Pobreza,Bad Bunny
La Droga,Bad Bunny
Blue & Grey,BTS
Stay,BTS
One Beer,HARDY Featuring Lauren Alaina & Devin Dawson
One Of Them Girls,Lee Brice
Come & Go,Juice WRLD x Marshmello
Fly To My Room,BTS
Telepathy,BTS
Dis-ease,BTS
Franchise,Travis Scott Featuring Young Thug & M.I.A.
Girls In The Hood,Megan Thee Stallion
Shots Fired,Megan Thee Stallion
Pain Away,Meek Mill Featuring Lil Durk
U 2 Luv,Ne-Yo & Jeremih
Wishing Well,Juice WRLD
Do It On The Tip,Megan Thee Stallion Featuring City Girls & Hot Girl Meg
Circles,Megan Thee Stallion
Popstar,DJ Khaled Featuring Drake
Got What I Got,Jason Aldean
Stripes Like Burberry,Future & Lil Uzi Vert
Adore You,Harry Styles
That's It,Future & Lil Uzi Vert
The Woo,Pop Smoke Featuring 50 Cent & Roddy Ricch
Real Baby Pluto,Future & Lil Uzi Vert
Iris,Phoebe & Maggie
Mood Swings,Pop Smoke Featuring Lil Tjay
