song,artist,counter
Moral Of The Story,Ashe Featuring Niall Horan,"{'oh': 57, 'love': 9, 'really': 8, 'mistake': 8, 'get': 8, 'make': 8, 'alright': 8, 'okay': 8, 'moral': 6, 'think': 5, 'end': 5, 'story': 5, 'say': 4, 'people': 4, 'well': 4, 'could': 3, 'pain': 3, 'babe': 3, 'never': 2, 'talk': 2, 'fall': 2, 'wrong': 2, 'sometimes': 2, 'funny': 2, 'turn': 2, 'ooh': 1, 'knew': 1, 'god': 1, 'try': 1, 'blindside': 1, 'addict': 1, 'thought': 1, 'foolish': 1, 'hindsight': 1, 'obvious': 1, 'lawyer': 1, 'find': 1, 'guy': 1, 'young': 1, 'memory': 1, 'bad': 1, 'dream': 1, 'run': 1, 'wild': 1, 'volatile': 1, 'change': 1, 'like': 1, 'stranger': 1, 'burn': 1, 'paper': 1, 'house': 1, 'father': 1, 'mine': 1, 'good': 1, 'lose': 1, 'load': 1, 'shit': 1, 'need': 1, 'tell': 1, 'engage': 1}"
Say So,Doja Cat Featuring Nicki Minaj,"{'keep': 13, 'say': 12, 'want': 8, 'day': 7, 'let': 7, 'even': 7, 'leave': 7, 'get': 7, 'night': 6, 'morning': 6, 'moment': 6, 'know': 6, 'notice': 6, 'punch': 6, 'roll': 6, 'focus': 6, 'like': 5, 'love': 3, 'tell': 2, 'stop': 2, 'ever': 2, 'yah': 2, 'long': 1, 'time': 1, 'since': 1, 'fell': 1, 'come': 1, 'shell': 1, 'really': 1, 'must': 1, 'cause': 1, 'luckily': 1, 'good': 1, 'reading': 1, 'bug': 1, 'cheesin': 1, 'dance': 1, 'around': 1, 'frontin': 1, 'bounce': 1, 'scream': 1, 'shout': 1, 'babe': 1, 'dry': 1, 'yeah': 1, 'check': 1, 'chest': 1, 'breath': 1, 'right': 1, 'quick': 1, 'ha': 1, 'see': 1, 'dress': 1, 'ah': 1, 'impressed': 1, 'prolly': 1, 'quiet': 1, 'set': 1, 'zip': 1, 'need': 1, 'bad': 1, 'take': 1, 'steal': 1, 'fast': 1, 'boy': 1, 'play': 1, 'grab': 1, 'as': 1, 'actin': 1, 'shy': 1, 'hot': 1, 'shut': 1, 'save': 1, 'pushin': 1, 'beat': 1, 'round': 1, 'bush': 1, 'knowin': 1, 'woman': 1, 'never': 1, 'knock': 1, 'til': 1, 'try': 1, 'bitch': 1, 'hat': 1, 'niggas': 1, 'sayin': 1, 'mad': 1, 'commit': 1, 'realer': 1, 'anybody': 1, 'pretty': 1, 'body': 1, 'ody': 1, 'ass': 1, 'titty': 1}"
Savage,Megan Thee Stallion,"{'bitch': 23, 'yeah': 15, 'ooh': 14, 'ah': 8, 'happen': 8, 'ayy': 7, 'nigga': 7, 'still': 6, 'keep': 5, 'like': 4, 'savage': 4, 'classy': 4, 'bougie': 4, 'ratchet': 4, 'sassy': 4, 'moody': 4, 'nasty': 4, 'act': 4, 'stupid': 4, 'woah': 4, 'shit': 3, 'pussy': 3, 'get': 3, 'let': 3, 'forever': 2, 'hey': 2, 'huh': 2, 'show': 2, 'baow': 2, 'know': 2, 'much': 2, 'drip': 2, 'whip': 2, 'say': 2, 'mwah': 2, 'hood': 1, 'mona': 1, 'lisa': 1, 'break': 1, 'piece': 1, 'x': 1, 'cheesy': 1, 'niggas': 1, 'circle': 1, 'pizza': 1, 'way': 1, 'exclusive': 1, 'shop': 1, 'insta': 1, 'boutique': 1, 'lil': 1, 'as': 1, 'clothes': 1, 'fit': 1, 'fake': 1, 'booty': 1, 'bad': 1, 'talk': 1, 'cash': 1, 'water': 1, 'unbothered': 1, 'relaxing': 1, 'would': 1, 'never': 1, 'trip': 1, 'trash': 1, 'maid': 1, 'bag': 1, 'eat': 1, 'record': 1, 'edge': 1, 'up': 1, 'private': 1, 'ap': 1, 'beefing': 1, 'really': 1, 'kinda': 1, 'bore': 1, 'money': 1, 'gon': 1, 'ignore': 1, 'need': 1, 'mop': 1, 'clean': 1, 'floor': 1, 'knot': 1, 'watch': 1, 'play': 1, 'game': 1, 'simon': 1, 'lit': 1, 'match': 1, 'hit': 1, 'attach': 1, 'body': 1, 'right': 1, 'fat': 1, 'drop': 1, 'picture': 1, 'feel': 1, 'attacked': 1, 'gas': 1, 'whack': 1, 'make': 1, 'call': 1, 'smack': 1, 'uh': 1, 'talkin': 1, 'bout': 1, 'pull': 1, 'well': 1, 'lam': 1, 'catch': 1, 'kickin': 1, 'spot': 1, 'stalli': 1, 'chan': 1, 'taste': 1, 'sugar': 1, 'sweet': 1}"
Blueberry Faygo,Lil Mosey,"{'yeah': 19, 'band': 16, 'big': 15, 'shit': 15, 'boom': 12, 'go': 12, 'three': 11, 'one': 10, 'bitch': 10, 'two': 10, 'straight': 7, 'fuck': 7, 'bad': 5, 'say': 5, 'as': 5, 'draco': 5, 'million': 5, 'ask': 5, 'day': 5, 'pour': 5, 'four': 5, 'blueberry': 5, 'faygo': 5, 'lean': 5, 'false': 5, 'move': 5, 'shootin': 5, 'small': 5, 'take': 5, 'real': 5, 'quick': 5, 'hoe': 5, 'pull': 5, 'thumbin': 5, 'nigga': 3, 'lil': 3, 'cash': 3, 'damn': 2, 'callan': 2, 'ayy': 2, 'kk': 2, 'wokhardt': 2, 'bag': 2, 'get': 2, 'pfft': 2, 'know': 2, 'winner': 2, 'city': 2, 'pole': 2, 'rockstars': 1, 'dick': 1, 'glock': 1, 'hard': 1, 'trapstar': 1, 'huh': 1, 'gas': 1, 'rollin': 1, 'since': 1, 'yesterday': 1, 'somethin': 1, 'oh': 1, 'clip': 1, 'nina': 1, 'toe': 1, 'gucci': 1, 'valentino': 1, 'team': 1, 'uh': 1, 'cause': 1, 'want': 1, 'back': 1, 'fuckin': 1, 'safe': 1, 'chase': 1, 'til': 1, 'end': 1}"
Dolly,Lil Tecca & Lil Uzi Vert,"{'woah': 27, 'yeah': 23, 'oh': 21, 'uh': 13, 'get': 12, 'bitch': 11, 'ayy': 9, 'fuck': 9, 'say': 8, 'know': 7, 'take': 6, 'probably': 6, 'come': 6, 'like': 5, 'shorty': 5, 'money': 5, 'molly': 4, 'feel': 4, 'fit': 4, 'callin': 4, 'papi': 4, 'want': 4, 'though': 4, 'shawty': 3, 'go': 3, 'count': 3, 'rack': 3, 'make': 3, 'right': 3, 'back': 3, 'fortnite': 3, 'tac': 3, 'man': 3, 'pack': 3, 'look': 3, 'eye': 3, 'ten': 3, 'band': 3, 'tryna': 3, 'rob': 3, 'spanish': 3, 'walk': 3, 'scene': 3, 'ho': 3, 'tony': 3, 'montana': 3, 'tecca': 3, 'stop': 3, 'designer': 3, 'call': 3, 'tec': 3, 'romani': 3, 'see': 3, 'fed': 3, 'lay': 3, 'low': 3, 'bullet': 3, 'halo': 3, 'wanna': 3, 'feature': 3, 'pay': 3, 'real': 3, 'tall': 3, 'shit': 3, 'big': 2, 'fake': 2, 'cause': 2, 'niggas': 2, 'nigga': 2, 'talk': 2, 'let': 2, 'girl': 2, 'one': 2, 'step': 1, 'party': 1, 'golly': 1, 'stick': 1, 'crazy': 1, 'cute': 1, 'color': 1, 'lady': 1, 'mdma': 1, 'payroll': 1, 'hot': 1, 'flame': 1, 'try': 1, 'stayin': 1, 'hoe': 1, 'much': 1, 'love': 1, 'wow': 1, 'sponsor': 1, 'carnegie': 1, 'rockin': 1, 'steel': 1, 'even': 1, 'bother': 1, 'payin': 1, 'bill': 1, 'gon': 1, 'swallow': 1, 'anti': 1, 'social': 1, 'please': 1, 'wet': 1, 'wrist': 1, 'nobody': 1, 'still': 1, 'care': 1, 'side': 1, 'chick': 1, 'suckin': 1, 'time': 1, 'wit': 1, 'diamond': 1, 'stone': 1, 'fist': 1, 'stay': 1, 'thirty': 1, 'clip': 1, 'clop': 1, 'lookin': 1, 'find': 1, 'buy': 1, 'likin': 1, 'bi': 1, 'weakness': 1, 'kindness': 1, 'tat': 1, 'body': 1, 'eyelid': 1, 'hundred': 1, 'thousand': 1, 'dollar': 1, 'high': 1, 'line': 1, 'of': 1, 'virgil': 1, 'design': 1, 'archive': 1, 'consignment': 1, 'suck': 1, 'good': 1, 'might': 1, 'sign': 1}"
My Window,YoungBoy Never Broke Again Featuring Lil Wayne,"{'get': 14, 'window': 13, 'playin': 10, 'yeah': 7, 'make': 7, 'tryna': 7, 'niggas': 6, 'money': 5, 'bitch': 5, 'know': 5, 'mama': 4, 'stop': 4, 'gon': 4, 'though': 4, 'inside': 4, 'hand': 4, 'hundred': 4, 'fuck': 4, 'whip': 3, 'cost': 3, 'lyin': 3, 'say': 3, 'catch': 3, 'game': 3, 'fine': 3, 'shawty': 3, 'thing': 3, 'tune': 3, 'key': 3, 'like': 3, 'still': 3, 'eye': 3, 'sure': 3, 'one': 3, 'extendos': 3, 'love': 3, 'loss': 3, 'depend': 3, 'wrist': 3, 'leave': 3, 'cold': 3, 'think': 3, 'win': 3, 'let': 3, 'receive': 2, 'hard': 2, 'thirty': 2, 'life': 2, 'murder': 2, 'cannot': 2, 'peekin': 2, 'ho': 2, 'friend': 2, 'em': 2, 'nobody': 2, 'smash': 1, 'smokin': 1, 'best': 1, 'right': 1, 'believe': 1, 'vouch': 1, 'bet': 1, 'jail': 1, 'daddy': 1, 'prayin': 1, 'goin': 1, 'do': 1, 'year': 1, 'trials': 1, 'go': 1, 'beat': 1, 'kill': 1, 'alright': 1, 'grow': 1, 'smart': 1, 'countin': 1, 'til': 1, 'throw': 1, 'appeal': 1, 'grimy': 1, 'steady': 1, 'keepin': 1, 'real': 1, 'much': 1, 'gotta': 1, 'achieve': 1, 'collectin': 1, 'dollar': 1, 'invest': 1, 'slangin': 1, 'chopper': 1, 'part': 1, 'lead': 1, 'sayin': 1, 'matter': 1, 'forever': 1, 'play': 1, 'man': 1, 'ten': 1, 'baton': 1, 'rouge': 1, 'new': 1, 'orleans': 1, 'young': 1, 'nigga': 1, 'head': 1, 'bird': 1, 'van': 1, 'give': 1, 'clue': 1, 'show': 1, 'hurt': 1, 'choose': 1, 'cool': 1, 'come': 1, 'rap': 1, 'shit': 1, 'high': 1, 'land': 1, 'recieve': 1, 'motherfuckin': 1, 'well': 1, 'fuckin': 1, 'outside': 1, 'lookin': 1, 'n': 1, 'o': 1, 'look': 1, 'cause': 1, 'see': 1, 'shitshow': 1, 'less': 1, 'toss': 1, 'world': 1, 'yopper': 1, 'shot': 1, 'time': 1, 'felt': 1, 'curl': 1, 'wonder': 1, 'woman': 1, 'wonderin': 1, 'wonderland': 1, 'wonderworld': 1, 'jump': 1, 'underworld': 1, 'cum': 1, 'pearl': 1, 'pussy': 1, 'pop': 1, 'back': 1, 'shoppin': 1, 'tint': 1, 'hide': 1, 'crack': 1, 'barrel': 1, 'stickin': 1, 'stick': 1, 'light': 1, 'roll': 1, 'wiper': 1, 'work': 1, 'tec': 1, 'microsoft': 1, 'windows': 1, 'defrost': 1, 'bah': 1}"
When You Down,Lil Tecca & Polo G Featuring Lil Durk,"{'know': 21, 'gon': 11, 'cup': 7, 'let': 7, 'feeling': 6, 'build': 6, 'pour': 6, 'girl': 6, 'get': 6, 'fuck': 5, 'fuckin': 5, 'baby': 5, 'broke': 5, 'ballin': 5, 'say': 4, 'ah': 3, 'yeah': 3, 'go': 3, 'uh': 2, 'huh': 2, 'oh': 2, 'calm': 2, 'time': 2, 'new': 2, 'around': 2, 'look': 2, 'one': 2, 'fifty': 2, 'do': 2, 'street': 2, 'could': 2, 'car': 2, 'em': 2, 'percs': 2, 'gun': 2, 'really': 2, 'real': 1, 'come': 1, 'turn': 1, 'pull': 1, 'wraith': 1, 'drop': 1, 'top': 1, 'ride': 1, 'back': 1, 'sun': 1, 'see': 1, 'hatin': 1, 'count': 1, 'switch': 1, 'peep': 1, 'hoe': 1, 'contact': 1, 'like': 1, 'lately': 1, 'three': 1, 'cannot': 1, 'jack': 1, 'shawty': 1, 'hear': 1, 'skeet': 1, 'smell': 1, 'x': 1, 'breathe': 1, 'nigga': 1, 'stretch': 1, 'bleed': 1, 'k': 1, 'cash': 1, 'sneeze': 1, 'diamond': 1, 'cut': 1, 'dog': 1, 'leech': 1, 'glock': 1, 'baow': 1, 'reach': 1, 'killer': 1, 'involve': 1, 'preach': 1, 'ask': 1, 'opp': 1, 'sleep': 1, 'give': 1, 'dawgs': 1, 'motivate': 1, 'law': 1, 'call': 1, 'hundred': 1, 'patek': 1, 'star': 1, 'rappin': 1, 'bout': 1, 'block': 1, 'promotin': 1, 'scar': 1, 'lamb': 1, 'tell': 1, 'bar': 1, 'coke': 1, 'narc': 1, 'small': 1, 'large': 1, 'try': 1, 'good': 1, 'run': 1, 'sometimes': 1, 'miss': 1, 'day': 1, 'hunger': 1, 'standin': 1, 'rain': 1, 'member': 1, 'shit': 1, 'lose': 1, 'everything': 1, 'gain': 1, 'yes': 1, 'grateful': 1, 'blessing': 1, 'complain': 1, 'doubt': 1, 'wake': 1, 'feel': 1, 'drain': 1, 'death': 1, 'normal': 1, 'another': 1, 'youngin': 1, 'slain': 1, 'uncle': 1, 'die': 1, 'shootout': 1, 'leave': 1, 'murder': 1, 'brain': 1, 'show': 1, 'mercy': 1, 'kill': 1, 'trained': 1, 'crime': 1, 'scene': 1, 'picture': 1, 'forget': 1, 'blood': 1, 'stain': 1, 'wound': 1, 'memory': 1, 'need': 1, 'novocaine': 1, 'wishin': 1, 'numb': 1, 'pain': 1, 'catch': 1, 'guess': 1, 'leavin': 1, 'chain': 1, 'long': 1, 'live': 1, 'mike': 1, 'durb': 1, 'name': 1, 'vain': 1}"
Wet. (She Got That...) ,YFN Lucci,"{'wet': 22, 'yeah': 21, 'get': 19, 'shit': 15, 'need': 10, 'girl': 9, 'huh': 7, 'lil': 6, 'like': 6, 'bitch': 6, 'want': 6, 'uh': 5, 'pull': 4, 'go': 4, 'love': 4, 'look': 3, 'sex': 3, 'neck': 3, 'becky': 3, 'manish': 3, 'kiss': 3, 'belly': 3, 'put': 3, 'know': 3, 'head': 3, 'fuck': 3, 'see': 3, 'back': 3, 'ceiling': 2, 'take': 2, 'new': 2, 'york': 2, 'bentley': 2, 'truck': 2, 'trust': 2, 'even': 2, 'gon': 2, 'time': 2, 'ride': 2, 'nigga': 2, 'nut': 2, 'mean': 2, 'four': 2, 'suckin': 2, 'catch': 2, 'hoe': 2, 'hey': 1, 'double': 1, 'r': 1, 'star': 1, 'car': 1, 'top': 1, 'hottie': 1, 'fly': 1, 'christian': 1, 'dior': 1, 'drug': 1, 'come': 1, 'freak': 1, 'disguise': 1, 'gettin': 1, 'grippin': 1, 'thigh': 1, 'bed': 1, 'keep': 1, 'dry': 1, 'good': 1, 'lie': 1, 'glad': 1, 'try': 1, 'n': 1, 'bend': 1, 'forever': 1, 'change': 1, 'turn': 1, 'train': 1, 'couple': 1, 'week': 1, 'later': 1, 'type': 1, 'next': 1, 'young': 1, 'pipe': 1, 'regular': 1, 'tesla': 1, 'baddie': 1, 'ate': 1, 'edible': 1, 'v': 1, 'eatin': 1, 'vegetables': 1, 'leg': 1, 'waterfall': 1, 'stuff': 1, 'tryna': 1, 'bless': 1, 'balcony': 1, 'outside': 1, 'master': 1, 'suite': 1, 'town': 1, 'til': 1, 'sun': 1, 'loyalty': 1, 'wanna': 1, 'argue': 1, 'would': 1, 'without': 1, 'u': 1, 'soak': 1, 'let': 1, 'jet': 1, 'ski': 1, 'best': 1, 'flex': 1, 'door': 1, 'takin': 1, 'clothes': 1, 'teeth': 1, 'mouth': 1, 'show': 1, 'pullin': 1, 'weave': 1, 'hope': 1, 'track': 1, 'trackhawk': 1, 'bougie': 1, 'blow': 1, 'booty': 1, 'ass': 1, 'magic': 1, 'think': 1, 'first': 1, 'night': 1, 'smash': 1, 'audible': 1, 'pass': 1, 'naughty': 1, 'nasty': 1, 'call': 1, 'daddy': 1}"
Lonely If You Are,Chase Rice,"{'lonely': 14, 'yeah': 10, 'could': 9, 'call': 6, 'late': 6, 'little': 6, 'last': 4, 'oh': 4, 'know': 3, 'nah': 3, 'matter': 3, 'night': 3, 'sidewalk': 3, 'buzzed': 3, 'drunk': 3, 'hair': 3, 'curl': 3, 'couch': 3, 'quiet': 3, 'loud': 3, 'enough': 3, 'p': 3, 'middle': 3, 'week': 3, 'weekend': 3, 'baby': 3, 'far': 3, 'cause': 3, 'girl': 3, 'let': 3, 'love': 3, 'right': 3, 'ready': 2, 'hit': 2, 'friday': 1, 'kickin': 1, 'back': 1, 'boys': 1, 'santa': 1, 'pub': 1, 'hesitate': 1, 'even': 1, 'think': 1, 'wait': 1, 'type': 1, 'wonderin': 1, 'stop': 1, 'thinking': 1, 'send': 1, 'monday': 1, 'show': 1, 'come': 1, 'red': 1, 'wine': 1, 'get': 1, 'low': 1, 'friend': 1, 'door': 1, 'rose': 1, 'go': 1, 'around': 1}"
Drug Addiction,YoungBoy Never Broke Again,"{'take': 5, 'life': 5, 'nigga': 5, 'gon': 5, 'right': 4, 'heart': 4, 'go': 4, 'tell': 4, 'back': 3, 'start': 3, 'party': 3, 'soon': 3, 'want': 3, 'come': 3, 'say': 3, 'anything': 3, 'get': 3, 'one': 3, 'money': 3, 'fore': 3, 'night': 3, 'like': 3, 'round': 2, 'oh': 2, 'addiction': 2, 'blood': 2, 'owe': 2, 'inside': 2, 'young': 2, 'takin': 2, 'tryna': 2, 'em': 2, 'yeah': 2, 'wanna': 1, 'road': 1, 'cool': 1, 'ridin': 1, 'top': 1, 'nowhere': 1, 'decide': 1, 'ride': 1, 'drug': 1, 'abuser': 1, 'broken': 1, 'bad': 1, 'druggin': 1, 'hard': 1, 'month': 1, 'long': 1, 'wraith': 1, 'nothin': 1, 'residue': 1, 'chasin': 1, 'check': 1, 'morning': 1, 'trench': 1, 'smoker': 1, 'stepper': 1, 'loner': 1, 'somethin': 1, 'schedule': 1, 'ii': 1, 'matter': 1, 'fact': 1, 'convict': 1, 'felon': 1, 'keepin': 1, 'weapon': 1, 'pourin': 1, 'youngin': 1, 'feel': 1, 'put': 1, 'hunger': 1, 'peak': 1, 'leave': 1, 'street': 1, 'use': 1, 'wash': 1, 'clothes': 1, 'sink': 1, 'walk': 1, 'mink': 1, 'care': 1, 'dawg': 1, 'make': 1, 'bos': 1, 'blink': 1, 'fame': 1, 'sittin': 1, 'cell': 1, 'link': 1, 'play': 1, 'nose': 1, 'shoot': 1, 'three': 1, 'dos': 1, 'end': 1, 'lipstick': 1, 'bottle': 1, 'full': 1, 'white': 1, 'know': 1, 'talk': 1, 'much': 1, 'always': 1, 'even': 1, 'excite': 1, 'puttin': 1, 'hoes': 1, 'grow': 1, 'tax': 1, 'evasion': 1, 'discussin': 1, 'business': 1, 'phone': 1, 'meet': 1, 'real': 1, 'impatient': 1, 'relocate': 1, 'switch': 1, 'location': 1, 'need': 1, 'spot': 1, 'vacant': 1, 'rep': 1, 'baby': 1, 'never': 1, 'give': 1, 'try': 1, 'plankton': 1, 'bitch': 1, 'still': 1, 'hatin': 1, 'ship': 1, 'sinkin': 1, 'titanic': 1, 'watch': 1, 'save': 1, 'keep': 1, 'plank': 1, 'arm': 1, 'dangerous': 1, 'pain': 1, 'eye': 1, 'constant': 1, 'thinkin': 1, 'started': 1}"
Wolves,Big Sean Featuring Post Malone,"{'raise': 24, 'life': 17, 'play': 15, 'right': 13, 'wolf': 13, 'well': 13, 'yeah': 11, 'risk': 9, 'til': 8, 'full': 8, 'eat': 7, 'night': 7, 'run': 6, 'playin': 6, 'go': 6, 'pack': 6, 'woah': 6, 'uh': 4, 'see': 4, 'get': 3, 'everything': 3, 'much': 3, 'know': 3, 'rush': 3, 'look': 3, 'bout': 3, 'u': 2, 'talk': 2, 'straight': 2, 'cause': 2, 'position': 2, 'think': 2, 'try': 2, 'back': 2, 'due': 2, 'always': 2, 'rule': 2, 'leave': 2, 'knee': 2, 'ice': 2, 'cold': 2, 'huh': 1, 'loyalty': 1, 'blood': 1, 'anything': 1, 'love': 1, 'like': 1, 'favorite': 1, 'time': 1, 'come': 1, 'clutch': 1, 'last': 1, 'second': 1, 'type': 1, 'star': 1, 'tattoo': 1, 'scar': 1, 'young': 1, 'dog': 1, 'tear': 1, 'witness': 1, 'apart': 1, 'care': 1, 'starve': 1, 'charge': 1, 'break': 1, 'commitment': 1, 'do': 1, 'people': 1, 'fuck': 1, 'whole': 1, 'team': 1, 'mean': 1, 'bitch': 1, 'road': 1, 'hell': 1, 'pave': 1, 'good': 1, 'intention': 1, 'nemesis': 1, 'contemplated': 1, 'forgiveness': 1, 'lose': 1, 'innocence': 1, 'ho': 1, 'depend': 1, 'simple': 1, 'sucker': 1, 'shit': 1, 'steal': 1, 'bit': 1, 'motherfucking': 1, 'feel': 1, 'safer': 1, 'take': 1, 'put': 1, 'wall': 1, 'grow': 1, 'dawg': 1, 'pay': 1, 'game': 1, 'never': 1, 'make': 1, 'fell': 1, 'pick': 1, 'turn': 1, 'breeze': 1, 'oh': 1, 'ohh': 1, 'spent': 1, 'milli': 1, 'mille': 1, 'mama': 1, 'ooh': 1, 'diamond': 1, 'choker': 1, 'man': 1, 'gettin': 1, 'hard': 1, 'breathe': 1, 'family': 1, 'cut': 1, 'branch': 1, 'tree': 1, 'wow': 1, 'circle': 1, 'around': 1, 'round': 1, 'let': 1, 'say': 1, 'die': 1, 'ground': 1, 'wrist': 1, 'vein': 1, 'world': 1, 'predator': 1, 'prey': 1, 'ate': 1, 'woo': 1}"
The Bones,Maren Morris,"{'could': 11, 'bone': 9, 'good': 9, 'glass': 9, 'yeah': 7, 'rest': 7, 'matter': 6, 'shatter': 6, 'paint': 5, 'peel': 5, 'let': 5, 'rain': 5, 'baby': 5, 'put': 4, 'right': 4, 'cause': 3, 'remain': 3, 'crack': 3, 'foundation': 3, 'know': 3, 'storm': 3, 'face': 3, 'blow': 3, 'stay': 3, 'house': 3, 'fall': 3, 'hard': 2, 'go': 2, 'oh': 2, 'ooh': 2, 'woo': 2, 'homestretch': 1, 'time': 1, 'take': 1, 'leave': 1, 'alright': 1, 'life': 1, 'sure': 1, 'try': 1, 'love': 1, 'build': 1, 'nothing': 1, 'ever': 1, 'gonna': 1, 'move': 1, 'call': 1, 'dumb': 1, 'luck': 1, 'even': 1, 'mess': 1, 'though': 1, 'tried': 1, 'always': 1, 'way': 1, 'plan': 1, 'wolf': 1, 'come': 1, 'still': 1, 'stand': 1, 'really': 1}"
One Margarita,Luke Bryan,"{'margarita': 18, 'one': 12, 'go': 8, 'two': 8, 'three': 6, 'little': 3, 'a': 3, 'feelin': 3, 'pain': 3, 'shot': 3, 'worry': 3, 'bout': 3, 'tomorrow': 3, 'leave': 3, 'sorrow': 3, 'floatin': 3, 'dock': 3, 'sun': 3, 'lay': 3, 'way': 3, 'barefoot': 3, 'round': 3, 'last': 3, 'chance': 3, 'say': 3, 'hey': 3, 'se': 3, 'orita': 3, 'think': 3, 'need': 3, 'salt': 3, 'song': 3, 'tiki': 2, 'bar': 2, 'tik': 2, 'n': 2, 'pourin': 2, 'weekend': 2, 'cloud': 2, 'leakin': 2, 'rain': 2, 'piece': 2, 'shakin': 2, 'white': 2, 'cap': 2, 'breakin': 2, 'like': 2, 'everybody': 1, 'doin': 1, 'thing': 1, 'lettin': 1, 'sippin': 1, 'frozen': 1, 'drink': 1, 'buffett': 1, 'ice': 1, 'blue': 1, 'sky': 1, 'shade': 1, 'eye': 1, 'tuck': 1, 'bloodshot': 1, 'away': 1, 'hair': 1, 'dog': 1, 'take': 1, 'long': 1, 'care': 1, 'get': 1, 'day': 1, 'palm': 1, 'tree': 1, 'leanin': 1, 'sunburn': 1, 'screamin': 1, 'alright': 1, 'marley': 1, 'chesney': 1}"
Gone Too Soon,Andrew Jannakos,"{'want': 8, 'go': 8, 'runnin': 8, 'soon': 7, 'every': 4, 'night': 4, 'never': 4, 'leave': 4, 'come': 4, 'moonlight': 4, 'candlelight': 4, 'red': 4, 'wine': 4, 'around': 3, 'unannounced': 3, 'sunlight': 3, 'gettin': 3, 'good': 3, 'hit': 3, 'goodbye': 3, 'thing': 3, 'get': 3, 'enough': 3, 'time': 3, 'ya': 3, 'clock': 2, 'call': 2, 'bad': 2, 'pullin': 2, 'need': 2, 'know': 2, 'love': 2, 'place': 2, 'stay': 2, 'girl': 2, 'truth': 2, 'yeah': 2, 'dot': 1, 'fail': 1, 'talkin': 1, 'bout': 1, 'day': 1, 'pour': 1, 'cup': 1, 'cause': 1, 'wanna': 1, 'sleep': 1, 'dance': 1, 'hallway': 1, 'put': 1, 'please': 1, 'sit': 1, 'fingertip': 1, 'lingerin': 1, 'nowhere': 1, 't': 1, 'shirt': 1, 'still': 1, 'phone': 1, 'minute': 1, 'baby': 1, 'kiddin': 1, 'ooh': 1}"
All In,YoungBoy Never Broke Again,"{'get': 7, 'know': 6, 'say': 4, 'feel': 4, 'would': 4, 'really': 4, 'listen': 4, 'mine': 4, 'come': 4, 'right': 3, 'leave': 3, 'hunna': 2, 'beat': 2, 'goddamn': 2, 'bj': 2, 'another': 2, 'one': 2, 'hope': 2, 'go': 2, 'still': 2, 'girl': 2, 'love': 2, 'take': 2, 'tell': 2, 'make': 2, 'ten': 2, 'please': 2, 'life': 2, 'clean': 2, 'round': 2, 'outta': 1, 'dirt': 1, 'pile': 1, 'ballin': 1, 'need': 1, 'church': 1, 'heaven': 1, 'send': 1, 'god': 1, 'put': 1, 'loyalty': 1, 'friend': 1, 'cause': 1, 'lord': 1, 'back': 1, 'end': 1, 'recordin': 1, 'mic': 1, 'sittin': 1, 'hand': 1, 'wish': 1, 'three': 1, 'styrofoam': 1, 'cypress': 1, 'woodland': 1, 'safe': 1, 'room': 1, 'crib': 1, 'tellin': 1, 'use': 1, 'live': 1, 'keepin': 1, 'gun': 1, 'everywhere': 1, 'question': 1, 'strong': 1, 'payin': 1, 'daddy': 1, 'home': 1, 'pray': 1, 'appeal': 1, 'away': 1, 'keep': 1, 'pill': 1, 'drank': 1, 'kidney': 1, 'fail': 1, 'son': 1, 'calm': 1, 'doin': 1, 'hoe': 1, 'cum': 1, 'want': 1, 'line': 1, 'straight': 1, 'goin': 1, 'day': 1, 'body': 1, 'fluid': 1, 'oh': 1, 'die': 1, 'tryin': 1, 'real': 1, 'alone': 1, 'stalk': 1, 'shottas': 1, 'unjudgemental': 1, 'far': 1, 'mart': 1, 'nigga': 1, 'long': 1, 'yeah': 1, 'til': 1, 'killas': 1, 'side': 1, 'butterfly': 1, 'paradise': 1, 'bullet': 1, 'wind': 1, 'route': 1, 'bank': 1, 'account': 1, 'war': 1, 'ridin': 1, 'mop': 1, 'tryna': 1, 'wipe': 1, 'block': 1, 'bottom': 1, 'glock': 1, 'standin': 1, 'front': 1, 'mom': 1, 'house': 1, 'steady': 1, 'screamin': 1, 'gang': 1, 'time': 1, 'comin': 1}"
