song,artist,counter
Why Would I Stop?,Big Sean,"{'unstoppable': 3, 'alive': 3, 'critical': 2, 'new': 2, 'hospitable': 1, 'blacker': 1, 'complain': 1, 'adapt': 1, 'upgraded': 1, 'listen': 1, 'respond': 1}"
Need It,Migos Featuring YoungBoy Never Broke Again,"{'undefeated': 4, 'ooh': 4, 'bleed': 3, 'long': 3, 'receive': 3, 'eat': 3, 'woo': 3, 'hard': 2, 'bought': 2, 'many': 2, 'easy': 2, 'surrounded': 1, 'bless': 1, 'bring': 1, 'happen': 1, 'nasty': 1, 'forget': 1, 'new': 1, 'tactical': 1, 'hot': 1, 'caught': 1}"
Stuck With U,Ariana Grande & Justin Bieber,"{'stuck': 18, 'ooh': 5, 'insane': 3, 'spend': 1, 'lose': 1}"
Be A Light,"Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban","{'live': 2, 'slow': 2, 'believe': 1, 'listen': 1, 'hard': 1}"
I Love My Country,Florida Georgia Line,"{'loud': 10, 'sorry': 6, 'proud': 3, 'intend': 1, 'sing': 1, 'sit': 1, 'sure': 1, 'ooh': 1}"
God Whispered Your Name,Keith Urban,"{'live': 3, 'ooh': 3, 'lose': 1, 'seem': 1, 'baptize': 1, 'hear': 1, 'loud': 1, 'woo': 1, 'thank': 1}"
Blastoff,Internet Money Featuring Juice WRLD & Trippie Redd,"{'toxic': 3, 'crave': 2, 'fortunate': 1, 'receive': 1, 'picked': 1, 'bleed': 1, 'bring': 1, 'learn': 1, 'beautiful': 1, 'grow': 1, 'honest': 1, 'owe': 1}"
Expensive,Ty Dolla $ign Featuring Nicki Minaj,"{'expensive': 15, 'ooh': 6, 'slim': 2, 'athletic': 1, 'late': 1}"
The 1,Taylor Swift,"{'ooh': 2, 'different': 2, 'new': 1, 'bleed': 1, 'grow': 1, 'persist': 1, 'resist': 1, 'ask': 1, 'choose': 1}"
Done,Chris Janson,"{'quit': 3, 'careless': 1, 'spend': 1, 'pray': 1}"
Girl Of My Dreams,Rod Wave,"{'broken': 3, 'please': 3, 'swear': 1, 'selfish': 1, 'hot': 1, 'big': 1, 'tried': 1, 'erase': 1}"
The Box,Roddy Ricch,"{'pour': 3, 'bulletproof': 1, 'smarter': 1, 'harder': 1, 'forgive': 1}"
The Plan,Travis Scott,"{'ooh': 10, 'live': 1, 'pour': 1, 'eat': 1, 'wicked': 1, 'lose': 1, 'hear': 1, 'slow': 1}"
Spicy,Nas Featuring Fivio Foreign & A$AP Ferg,"{'corporate': 2, 'all': 1, 'tight': 1, 'precise': 1, 'near': 1, 'sincere': 1}"
Hate The Other Side,Juice WRLD & Marshmello Featuring Polo G & The Kid LAROI,"{'busy': 3, 'taught': 3, 'lose': 2, 'react': 1, 'heard': 1, 'hard': 1, 'bring': 1, 'many': 1, 'recover': 1}"
Exile,Taylor Swift Featuring Bon Iver,"{'warn': 8, 'many': 8, 'learn': 5, 'hear': 4, 'ooh': 3, 'defend': 2, 'thin': 2, 'bloody': 1, 'offend': 1}"
B*tch From da Souf,Mulatto,"{'busy': 4, 'athletic': 3, 'eat': 3, 'sudden': 1, 'sing': 1, 'hesitate': 1}"
21,Polo G,"{'decorate': 3, 'taught': 3, 'expensive': 3, 'believe': 3, 'lose': 1, 'tight': 1, 'become': 1, 'excite': 1}"
Emotionally Scarred,Lil Baby,"{'big': 10, 'learn': 3, 'long': 3, 'foreign': 3, 'sorry': 3, 'heartless': 3, 'listen': 3, 'flushed': 1, 'forget': 1, 'tired': 1, 'confident': 1, 'admit': 1, 'fucked': 1, 'shut': 1, 'happen': 1, 'live': 1, 'ask': 1, 'dealt': 1, 'hear': 1, 'spend': 1, 'bring': 1, 'lose': 1, 'loose': 1, 'new': 1, 'remember': 1, 'watched': 1, 'harden': 1}"
Bluebird,Miranda Lambert,"{'ooh': 8, 'wide': 3, 'sing': 3, 'forgive': 1, 'hard': 1, 'confused': 1, 'lose': 1, 'sings': 1}"
Toosie Slide,Drake,"{'many': 2, 'troubled': 1, 'spun': 1, 'describe': 1, 'afford': 1, 'lose': 1, 'heard': 1, 'revealed': 1}"
Mamacita,"Black Eyed Peas, Ozuna + J.Rey Soul","{'ooh': 4, 'hot': 2}"
Conversations,Juice WRLD,"{'eat': 3, 'hot': 3, 'numb': 2, 'sit': 1, 'relax': 1, 'recline': 1, 'hard': 1, 'contemplate': 1, 'bring': 1, 'off': 1, 'dim': 1}"
Righteous,Juice WRLD,"{'ooh': 5, 'righteous': 3, 'hard': 3, 'sing': 2, 'beautiful': 1, 'deceive': 1, 'bleed': 1, 'drown': 1, 'inhale': 1, 'exhale': 1, 'breathe': 1, 'busy': 1, 'pour': 1, 'slow': 1}"
Past Life,Trevor Daniel x Selena Gomez,"{'sit': 4, 'remind': 2, 'honest': 1, 'convince': 1, 'ooh': 1}"
Something Special,Pop Smoke,"{'long': 2, 'sew': 2, 'woo': 1, 'apply': 1, 'discreet': 1, 'hot': 1}"
Hard To Forget,Sam Hunt,"{'hard': 7, 'forget': 4, 'long': 3, 'seem': 2, 'sure': 1, 'swear': 1}"
Letter From Houston,Rod Wave,"{'sad': 2, 'believe': 2, 'busy': 2, 'hear': 2, 'pray': 1, 'write': 1, 'reminisce': 1, 'rid': 1, 'remember': 1, 'met': 1, 'please': 1, 'weak': 1}"
One Big Country Song,LOCASH,"{'big': 9, 'sing': 4, 'wide': 3, 'hot': 2, 'slow': 1, 'survive': 1, 'live': 1}"
Don't Rush,Young T & Bugsey Featuring Headie One,"{'lose': 5, 'slow': 4, 'new': 3, 'big': 2, 'told': 1, 'froze': 1, 'bring': 1, 'diddle': 1, 'long': 1, 'strong': 1, 'introduce': 1, 'forgot': 1, 'warm': 1}"
Freestyle,Rod Wave,"{'ran': 8, 'hard': 3, 'sing': 2, 'swear': 1, 'new': 1, 'taught': 1, 'believe': 1, 'different': 1, 'complain': 1, 'explain': 1, 'happy': 1, 'futuristic': 1, 'alive': 1}"
Life's A Mess,Juice WRLD X Halsey,"{'remember': 4, 'belong': 2, 'accept': 2, 'lose': 2, 'thank': 2, 'learn': 1, 'live': 1, 'choose': 1, 'allow': 1}"
Move Ya Hips,A$AP Ferg Featuring  Nicki Minaj & MadeinTYO,"{'ooh': 10, 'woo': 4, 'numb': 2, 'new': 1, 'sit': 1, 'rob': 1, 'slow': 1}"
Be Kind,Marshmello & Halsey,"{'believe': 4, 'confide': 4, 'hard': 2, 'sorry': 1, 'prepare': 1, 'broken': 1}"
Falling,Trevor Daniel,"{'ooh': 2, 'hear': 1, 'numb': 1, 'drown': 1, 'caught': 1, 'swore': 1}"
Walk Em Down,NLE Choppa Featuring Roddy Ricch,"{'posted': 3, 'ooh': 2, 'pour': 1, 'remember': 1, 'caught': 1}"
The Last Great American Dynasty,Taylor Swift,"{'loud': 2, 'rode': 1, 'new': 1, 'tasteful': 1, 'flew': 1, 'swam': 1, 'big': 1, 'lose': 1, 'dyed': 1, 'long': 1, 'sit': 1}"
My Tears Ricochet,Taylor Swift,"{'stayed': 4, 'cursing': 3, 'deserve': 1, 'swear': 1, 'bury': 1, 'hear': 1}"
August,Taylor Swift,"{'lose': 5, 'remember': 5, 'twisted': 3, 'sure': 1, 'write': 1, 'live': 1}"
Invisible String,Taylor Swift,"{'ooh': 16, 'invisible': 3, 'mystical': 1, 'heal': 1, 'send': 1, 'bring': 1}"
Betty,Taylor Swift,"{'heard': 2, 'believe': 2, 'rid': 1, 'breathe': 1, 'dreamt': 1, 'long': 1, 'planned': 1, 'happen': 1}"
No Dribble,DaBaby x Stunna 4 Vegas,"{'send': 6, 'strong': 6, 'broke': 1, 'argue': 1, 'spent': 1, 'flushed': 1, 'mental': 1}"
Mirrorball,Taylor Swift,"{'near': 2, 'beautiful': 1, 'shatter': 1, 'send': 1}"
Blood On My Jeans,Juice WRLD,"{'new': 2, 'hot': 2, 'dirty': 1, 'succeed': 1, 'believe': 1}"
Lion King On Ice,J. Cole,"{'big': 6, 'prove': 4, 'live': 2, 'pray': 2, 'long': 2, 'strong': 2, 'many': 1, 'hard': 1, 'broke': 1, 'got': 1, 'hungry': 1, 'starve': 1, 'forget': 1, 'ask': 1, 'smarter': 1, 'sad': 1, 'warn': 1, 'bring': 1, 'expect': 1, 'reflect': 1, 'quit': 1, 'destine': 1}"
Seven,Taylor Swift,"{'please': 2, 'long': 2, 'beautiful': 1, 'live': 1, 'learn': 1}"
This Is Me Trying,Taylor Swift,"{'hard': 3, 'pour': 2, 'adjust': 1, 'follow': 1, 'told': 1, 'mental': 1, 'become': 1}"
Illicit Affairs,Taylor Swift,"{'illicit': 2, 'sure': 1, 'flushed': 1, 'beautiful': 1, 'long': 1, 'exist': 1, 'dwindle': 1, 'taught': 1, 'speak': 1}"
Mad Woman,Taylor Swift,"{'angry': 4, 'seem': 2, 'sing': 1, 'breathe': 1, 'dirty': 1, 'obvious': 1, 'bring': 1}"
The Climb Back,J. Cole,"{'pleasant': 3, 'long': 3, 'become': 2, 'lose': 2, 'involve': 2, 'facilitate': 1, 'important': 1, 'decimate': 1, 'appoints': 1, 'pour': 1, 'drown': 1, 'asleep': 1, 'frozen': 1, 'bring': 1, 'speak': 1, 'suppose': 1, 'ignore': 1, 'showed': 1, 'remind': 1, 'heal': 1}"
Epiphany,Taylor Swift,"{'breathe': 7, 'speak': 2, 'bleed': 1}"
Peace,Taylor Swift,"{'warm': 2, 'long': 1, 'near': 1, 'seem': 1, 'sit': 1, 'understand': 1, 'choose': 1}"
Hoax,Taylor Swift,"{'believe': 2, 'knew': 2, 'twisted': 1, 'frozen': 1, 'laid': 1, 'new': 1, 'hard': 1, 'undone': 1, 'broken': 1, 'beaten': 1}"
Go!,Kid LAROI & Juice WRLD,"{'slow': 3, 'big': 2, 'attach': 1, 'please': 1}"
Perfect,Logic,"{'hated': 1, 'new': 1, 'related': 1, 'told': 1, 'discreet': 1, 'worthless': 1, 'eat': 1, 'hot': 1}"
Sunday Best,Surfaces,"{'bless': 4, 'difficult': 1, 'surrounded': 1}"
Titanic,Juice WRLD,"{'manage': 6, 'drown': 4, 'fucked': 3, 'new': 1, 'forget': 1, 'tired': 1, 'rid': 1, 'bless': 1}"
Stay High,Juice WRLD,"{'drown': 2, 'asleep': 1, 'sing': 1, 'many': 1, 'lose': 1, 'live': 1, 'worried': 1, 'sorry': 1}"
Bad Energy,Juice WRLD,"{'forget': 8, 'numb': 1, 'pour': 1, 'told': 1, 'long': 1, 'explain': 1, 'lose': 1}"
The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi","{'many': 2, 'bleed': 1, 'hear': 1, 'heard': 1, 'bring': 1, 'own': 1}"
Tell Me U Luv Me,Juice WRLD & Trippie Redd,"{'lose': 2, 'send': 1, 'stuck': 1, 'confuse': 1, 'pray': 1, 'live': 1}"
Up Up And Away,Juice WRLD,"{'solve': 4, 'deny': 4, 'seem': 4, 'hard': 2, 'realize': 1, 'tight': 1, 'easy': 1, 'numb': 1, 'remember': 1}"
Fighting Demons,Juice WRLD,"{'pray': 6, 'happy': 2, 'suppose': 1, 'bless': 1, 'ooh': 1, 'hard': 1, 'destroy': 1, 'lurking': 1, 'lurk': 1, 'protect': 1}"
Does To Me,Luke Combs Featuring Eric Church,"{'underachieving': 3, 'believe': 2, 'proud': 1, 'remember': 1, 'hard': 1}"
Man Of The Year,Juice WRLD,"{'sing': 4, 'ups': 3, 'cheap': 1, 'hotter': 1, 'got': 1}"
Can't Die,Juice WRLD,"{'many': 7, 'alive': 4, 'ooh': 4, 'new': 3, 'lose': 2, 'richer': 1, 'survive': 1}"
Flex,Polo G Featuring Juice WRLD,"{'strong': 3, 'belong': 3, 'new': 3, 'lose': 1, 'caught': 1, 'live': 1, 'bury': 1, 'rob': 1, 'mixed': 1, 'sing': 1, 'got': 1, 'allow': 1, 'pray': 1, 'long': 1}"
Screw Juice,Juice WRLD,"{'long': 2, 'woo': 1, 'ooh': 1, 'bleed': 1}"
Enjoy Yourself,Pop Smoke Featuring Karol G,"{'ooh': 19, 'enjoy': 9, 'woo': 1, 'long': 1, 'ask': 1, 'listen': 1}"
The Adventures Of Moon Man & Slim Shady,Kid Cudi & Eminem,"{'new': 5, 'hot': 3, 'busy': 2, 'believe': 2, 'blunt': 2, 'dirty': 2, 'please': 2, 'mixed': 1, 'pure': 1, 'dizzy': 1, 'late': 1, 'listen': 1, 'stuck': 1, 'pour': 1, 'explicit': 1, 'strong': 1, 'undefeated': 1, 'spend': 1, 'ooh': 1, 'loose': 1, 'lose': 1, 'swear': 1, 'penetrate': 1, 'woo': 1, 'adapt': 1, 'long': 1, 'many': 1, 'sorry': 1, 'breathe': 1, 'carotid': 1, 'slim': 1, 'continue': 1, 'understand': 1, 'realer': 1}"
I Want It,Juice WRLD,"{'ooh': 25, 'sedate': 2, 'ugly': 2, 'long': 2, 'quit': 1, 'drown': 1}"
Gangstas,Pop Smoke,"{'new': 8, 'woo': 6, 'foreign': 6, 'hear': 2, 'loud': 1, 'big': 1, 'hesitate': 1}"
Let It Go,Summer Walker,"{'become': 4, 'ooh': 2, 'believe': 1, 'ashamed': 1, 'committed': 1, 'learn': 1, 'hard': 1}"
My Affection,Summer Walker & PARTYNEXTDOOR,"{'grow': 3, 'hard': 3, 'asked': 1, 'ask': 1, 'grown': 1, 'choose': 1, 'long': 1, 'seem': 1, 'sit': 1, 'forgot': 1, 'caught': 1, 'forget': 1, 'alive': 1, 'chose': 1, 'flew': 1}"
Aim For The Moon,Pop Smoke Featuring Quavo,"{'woo': 5, 'ooh': 2, 'pour': 1, 'stuck': 1, 'surgical': 1, 'new': 1, 'long': 1, 'dangerous': 1, 'beautiful': 1}"
Beer Can't Fix,Thomas Rhett Featuring Jon Pardi,"{'ask': 1, 'listen': 1, 'hot': 1}"
Here And Now,Kenny Chesney,"{'alive': 3, 'new': 1, 'sipped': 1, 'sit': 1, 'hard': 1, 'forget': 1, 'some': 1}"
44 Bulldog,Pop Smoke,"{'woo': 11, 'sit': 4, 'allergic': 3, 'big': 3, 'snatched': 2, 'new': 1, 'locked': 1, 'hot': 1}"
Gooba,6ix9ine,"{'big': 10, 'sad': 3, 'listen': 2, 'ugly': 1, 'nasty': 1, 'excite': 1, 'hot': 1}"
Dior,Pop Smoke,"{'woo': 4, 'pours': 4, 'send': 1, 'deny': 1, 'please': 1, 'ask': 1, 'remember': 1}"
Yea Yea,Pop Smoke,"{'eat': 4, 'woo': 3, 'big': 2, 'ooh': 2, 'please': 1, 'sit': 1}"
Make It Rain,Pop Smoke Featuring Rowdy Rebel,"{'woo': 12, 'big': 2, 'spent': 1, 'foreign': 1, 'sure': 1, 'prepaid': 1}"
Snitchin,Pop Smoke Featuring Quavo & Future,"{'attach': 3, 'new': 2, 'woo': 2, 'classify': 1, 'assure': 1, 'bless': 1, 'packed': 1, 'big': 1, 'suppose': 1, 'sure': 1, 'amaze': 1, 'pour': 1, 'stoke': 1, 'cheap': 1, 'visual': 1}"
Bad Bitch From Tokyo (Intro),Pop Smoke,{'big': 2}
Creature,Pop Smoke Featuring Swae Lee,"{'ooh': 44, 'woo': 15, 'drank': 5, 'owe': 2, 'new': 2, 'shut': 1, 'live': 1, 'remember': 1, 'fresh': 1, 'dirty': 1}"
West Coast Shit,Pop Smoke Featuring Tyga & Quavo,"{'woo': 11, 'new': 6, 'proper': 4, 'live': 1, 'argue': 1, 'ask': 1, 'dim': 1, 'celebrate': 1, 'hot': 1, 'confuse': 1, 'caught': 1}"
P*$$y Fairy (OTW),Jhene Aiko,"{'ooh': 3, 'sprung': 3, 'loud': 3, 'proud': 3, 'wide': 2, 'hypnotize': 2, 'stuck': 1, 'slow': 1, 'hear': 1}"
Wash Us In The Blood,Kanye West Featuring Travis Scott,"{'ooh': 18, 'devour': 1, 'please': 1, 'grow': 1, 'cleanse': 1, 'live': 1, 'lose': 1, 'execute': 1, 'long': 1, 'edit': 1, 'different': 1}"
Diana,Pop Smoke Featuring King Combs,"{'woo': 8, 'ask': 1, 'heard': 1, 'slippery': 1, 'hear': 1, 'please': 1, 'eat': 1, 'remember': 1}"
Tunnel Vision (Outro),Pop Smoke,"{'woo': 11, 'reckon': 1, 'stepped': 1, 'remember': 1, 'new': 1, 'different': 1}"
Trollz,6ix9ine & Nicki Minaj,"{'sad': 1, 'please': 1, 'rid': 1, 'eat': 1, 'ooh': 1, 'slurp': 1, 'write': 1, 'send': 1}"
After A Few,Travis Denning,"{'lose': 3, 'reminisce': 2, 'resist': 1, 'hard': 1, 'happen': 1}"
How You Like That,BLACKPINK,"{'woo': 2, 'bring': 1}"
In Between,Scotty McCreery,"{'pour': 3, 'big': 1, 'disappear': 1}"
Memories,Maroon 5,"{'bring': 20, 'lose': 4, 'remember': 2, 'ooh': 2, 'believe': 1, 'powerful': 1}"
Nobody But You,Blake Shelton Duet With Gwen Stefani,"{'live': 3, 'breathe': 3, 'hear': 2, 'choose': 1, 'lose': 1}"
Hot Girl Bummer,blackbear,"{'hot': 9, 'annoy': 4, 'seclude': 2, 'diluted': 2, 'superhuman': 2, 'random': 1, 'swear': 1, 'different': 1}"
Black Parade,Beyonce,"{'woo': 8, 'follow': 6, 'ooh': 4, 'hear': 3, 'forget': 2, 'big': 2, 'send': 2, 'shrivel': 2, 'speak': 2, 'fertile': 1, 'pure': 1, 'flooded': 1, 'own': 1, 'warn': 1, 'pray': 1, 'mixed': 1, 'laid': 1}"
Know My Rights,6LACK Featuring Lil Baby,"{'fought': 4, 'woo': 4, 'agree': 2, 'many': 2, 'choose': 1, 'harder': 1, 'belong': 1, 'enjoy': 1, 'dirty': 1, 'eat': 1, 'healthy': 1, 'ran': 1}"
Daisies,Katy Perry,"{'told': 1, 'happen': 1, 'believe': 1, 'long': 1, 'tried': 1}"
Grace,Lil Baby & 42 Dugg,"{'new': 5, 'please': 3, 'greet': 3, 'near': 2, 'hear': 1, 'sure': 1, 'foreign': 1, 'loud': 1, 'eat': 1, 'hot': 1, 'happy': 1, 'lose': 1, 'different': 1, 'pray': 1, 'picked': 1}"
Believe It,PARTYNEXTDOOR & Rihanna,"{'believe': 26, 'deceive': 6, 'forgive': 1, 'punish': 1, 'long': 1, 'propose': 1, 'embarrass': 1, 'choose': 1, 'ooh': 1}"
In Your Eyes,The Weeknd,"{'define': 6, 'many': 1, 'ashamed': 1}"
Stick That In Your Country Song,Eric Church,"{'sing': 8, 'become': 1, 'lose': 1, 'alive': 1, 'hard': 1, 'long': 1, 'underpaid': 1}"
My Truck,Breland,"{'woo': 8, 'ooh': 8, 'blunt': 3, 'tucked': 1, 'twisted': 1, 'big': 1, 'soft': 1, 'hard': 1}"
Shotta Flow 5,NLE Choppa,"{'belong': 4, 'entertain': 2, 'hard': 2, 'hear': 1, 'hot': 1, 'tame': 1, 'send': 1, 'swear': 1, 'ooh': 1, 'sure': 1, 'live': 1, 'conceal': 1, 'some': 1}"
I Hope You're Happy Now,Carly Pearce & Lee Brice,"{'happy': 5, 'late': 1, 'knew': 1, 'hard': 1}"
Everything I Wanted,Billie Eilish,"{'cried': 2, 'long': 2, 'learn': 2, 'hear': 2, 'deserve': 2, 'honest': 1, 'stepped': 1, 'weak': 1, 'knew': 1}"
Snow On Tha Bluff,J. Cole,"{'grow': 3, 'believe': 2, 'intelligent': 1, 'smarter': 1, 'scrolled': 1, 'valid': 1, 'listen': 1, 'bless': 1, 'provide': 1, 'afflict': 1, 'clearest': 1, 'seem': 1, 'mental': 1, 'physical': 1, 'effective': 1, 'learn': 1, 'betrayed': 1, 'painful': 1, 'heal': 1, 'gotten': 1, 'survive': 1, 'thrive': 1}"
Bleed,A Boogie Wit da Hoodie,"{'speak': 3, 'swear': 2, 'long': 2, 'bleed': 2, 'grow': 1, 'busy': 1, 'lurk': 1, 'hear': 1, 'please': 1, 'up': 1, 'compete': 1}"
Tommy Lee,Tyla Yaweh & Post Malone,"{'ooh': 5, 'prove': 2, 'physical': 1, 'invisible': 1, 'hear': 1, 'hard': 1, 'please': 1}"
Level Of Concern,twenty one pilots,"{'bring': 6, 'hear': 4, 'insane': 2, 'ask': 2}"
One Shot,YoungBoy Never Broke Again Featuring Lil Baby,"{'many': 3, 'lose': 2, 'bring': 2, 'pray': 1, 'belongs': 1, 'live': 1, 'foreign': 1, 'hard': 1, 'froze': 1, 'tried': 1, 'told': 1}"
Need Me,J.I The Prince Of N.Y,"{'long': 5, 'swear': 4, 'lose': 2, 'reminisce': 1, 'heard': 1, 'afraid': 1, 'easy': 1, 'remember': 1, 'dwell': 1}"
All In,Lil Baby,"{'new': 2, 'told': 2, 'hard': 2, 'swear': 1, 'harden': 1}"
July,Noah Cyrus & Leon Bridges,"{'afraid': 2, 'remind': 2}"
Heartless,Diplo Presents Thomas Wesley Featuring Morgan Wallen,"{'heartless': 33, 'harmless': 3, 'hard': 3, 'late': 1}"
Ride It.,Regard,"{'lose': 4, 'slow': 1, 'apply': 1, 'beckoning': 1}"
Otherside Of America,Meek Mill,"{'live': 5, 'grow': 4, 'hungry': 4, 'lose': 2, 'woo': 2, 'big': 2, 'listen': 1, 'fresh': 1, 'told': 1, 'dedicate': 1, 'medicate': 1, 'devastate': 1, 'educate': 1, 'knew': 1, 'send': 1, 'able': 1, 'speak': 1, 'voiceless': 1, 'protect': 1}"
Drinking Alone,Carrie Underwood,"{'ooh': 45, 'forget': 4, 'solve': 3, 'strange': 3, 'sit': 1, 'seem': 1}"
Deep End Freestyle,Sleepy Hallow,"{'different': 1, 'big': 1, 'ask': 1, 'new': 1, 'live': 1, 'lose': 1, 'got': 1, 'packed': 1}"
The Man Who Loves You The Most,Zac Brown Band,"{'understands': 2, 'sing': 2, 'proud': 1, 'loud': 1, 'allow': 1, 'forgive': 1, 'hard': 1, 'celebrate': 1, 'understand': 1}"
My Oh My,Camila Cabello Featuring DaBaby,"{'alive': 5, 'swear': 2, 'insatiable': 1, 'breathe': 1, 'happen': 1, 'forget': 1, 'learn': 1, 'please': 1, 'new': 1, 'fresh': 1, 'hot': 1, 'ooh': 1}"
Dance Monkey,Tones And I,"{'ooh': 14, 'beg': 4}"
Sour Candy,Lady Gaga & BLACKPINK,"{'unwrap': 5, 'hard': 4, 'angry': 2, 'ask': 1}"
Turks,"NAV, Gunna & Travis Scott","{'hard': 4, 'ask': 3, 'replace': 3, 'sure': 3, 'bring': 2, 'late': 1, 'invisible': 1, 'spend': 1, 'represent': 1, 'useless': 1, 'warm': 1, 'unload': 1, 'swear': 1, 'pray': 1, 'believe': 1}"
Cooler Than A Bitch,Gunna Featuring Roddy Ricch,"{'big': 5, 'write': 3, 'burnt': 3, 'outer': 1, 'sure': 1, 'listen': 1, 'unleaded': 1, 'spend': 1, 'happy': 1, 'all': 1, 'loose': 1, 'new': 1, 'bring': 1, 'send': 1}"
That Way,Lil Uzi Vert,"{'sad': 6, 'sure': 3, 'slow': 2, 'woo': 2, 'sing': 2, 'paced': 1, 'masturbate': 1, 'fitted': 1}"
Hard Days,Brantley Gilbert,"{'hard': 6, 'earn': 3, 'live': 3, 'learn': 1, 'amaze': 1, 'lose': 1, 'ask': 1, 'ups': 1, 'remind': 1}"
Catch,Brett Young,"{'ooh': 2, 'long': 1, 'late': 1, 'sit': 1}"
Trillionaire,Future Featuring YoungBoy Never Broke Again,"{'ask': 1, 'hard': 1, 'nominate': 1, 'new': 1, 'conquer': 1, 'spend': 1, 'swear': 1, 'suffer': 1, 'flexed': 1, 'represent': 1}"
Worldwide Beautiful,Kane Brown,"{'thank': 18, 'beautiful': 9, 'different': 5, 'sing': 2, 'hard': 1, 'woo': 1}"
Stupid Love,Lady Gaga,"{'ooh': 16, 'sorry': 2, 'quit': 1, 'heal': 1, 'hard': 1, 'believe': 1, 'late': 1, 'protect': 1, 'woo': 1}"
TKN,Rosalia & Travis Scott,"{'drown': 1, 'heard': 1, 'new': 1, 'bring': 1, 'ooh': 1}"
Godzilla,Eminem Featuring Juice WRLD,"{'harry': 2, 'afraid': 2, 'big': 1, 'consider': 1, 'vacate': 1, 'laughing': 1, 'tame': 1, 'placate': 1, 'appal': 1, 'many': 1, 'mental': 1, 'drawn': 1, 'ballistic': 1, 'perspire': 1, 'retire': 1, 'admire': 1, 'stingy': 1, 'lend': 1, 'marry': 1, 'bury': 1, 'genital': 1, 'sit': 1, 'swear': 1, 'happy': 1, 'petes': 1, 'attracts': 1, 'eaten': 1, 'eliminate': 1, 'evade': 1, 'obliterate': 1, 'incinerate': 1, 'available': 1}"
T.D,"Lil Yachty & Tierra Whack Featuring A$AP Rocky & Tyler, The Creator","{'big': 3, 'long': 3, 'slow': 2, 'chose': 2, 'fresh': 1, 'learn': 1, 'peddle': 1, 'freer': 1, 'ample': 1, 'hot': 1, 'heard': 1, 'caught': 1, 'follow': 1, 'new': 1, 'ooh': 1, 'cervical': 1, 'rob': 1, 'realize': 1, 'soft': 1, 'crushed': 1, 'got': 1}"
Alice,Lady Gaga,"{'alive': 1, 'listen': 1}"
Lose Somebody,Kygo & OneRepublic,"{'lose': 15, 'ooh': 2, 'insane': 1, 'late': 1, 'please': 1, 'knew': 1}"
Solitaires,Future Featuring Travis Scott,"{'ooh': 9, 'loose': 5, 'woo': 4, 'bring': 2, 'live': 2, 'bought': 1, 'new': 1, 'lose': 1, 'choose': 1, 'hungry': 1, 'tend': 1, 'juicy': 1, 'long': 1}"
RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin,"{'spend': 6, 'live': 2, 'new': 2, 'learn': 1, 'improve': 1, 'quit': 1, 'speak': 1, 'woo': 1}"
Sum 2 Prove,Lil Baby,"{'prove': 8, 'lose': 8, 'big': 7, 'pray': 4, 'rid': 4, 'hot': 2, 'bring': 1, 'believe': 1, 'got': 1, 'robbed': 1, 'ran': 1, 'follow': 1, 'sorry': 1, 'heard': 1, 'happen': 1, 'vouch': 1, 'proud': 1, 'slow': 1}"
Top Floor,Gunna Featuring Travis Scott,"{'ooh': 21, 'toxic': 6, 'rounded': 3, 'sorry': 2, 'admire': 2, 'entice': 1, 'write': 1, 'admit': 1, 'earn': 1, 'pour': 1, 'intoxicate': 1, 'big': 1, 'drank': 1, 'grow': 1}"
Wunna,Gunna,"{'muddy': 3, 'pour': 3, 'poured': 3, 'blacker': 1}"
Blindfold,Gunna Featuring Lil Baby,"{'hear': 4, 'long': 3, 'pour': 2, 'new': 2, 'different': 2, 'blown': 2, 'send': 2, 'afford': 1, 'annoyed': 1, 'sure': 1, 'certify': 1, 'foreign': 1, 'forget': 1}"
SkyBox,Gunna,"{'hot': 3, 'chopped': 3, 'admit': 3, 'hard': 3, 'commit': 2, 'forget': 2, 'new': 1, 'lose': 1, 'thin': 1, 'spend': 1, 'hotter': 1, 'sit': 1, 'tackled': 1, 'ooh': 1}"
Argentina,Gunna,"{'numb': 4, 'loud': 2, 'spend': 2, 'swear': 1, 'quit': 1, 'heard': 1, 'remind': 1}"
Met Gala,Gunna,"{'easy': 5, 'send': 3, 'relieve': 3, 'hard': 2, 'lose': 2, 'accurate': 1, 'please': 1, 'live': 1, 'fucked': 1, 'tame': 1, 'woke': 1, 'whacked': 1, 'happen': 1, 'big': 1}"
Daechwita,Agust D,{'woo': 1}
Nasty Girl / On Camera,Gunna,"{'nasty': 8, 'heard': 2, 'follow': 1, 'hear': 1, 'sorry': 1, 'please': 1, 'easy': 1, 'hot': 1, 'pamper': 1}"
MOTW,Gunna,"{'relate': 3, 'ooh': 2, 'dirty': 2, 'alive': 1, 'grow': 1, 'remember': 1, 'proud': 1, 'hear': 1}"
Gimmick,Gunna,"{'lose': 4, 'loyal': 3, 'commit': 3, 'big': 2, 'committed': 1, 'invent': 1, 'swear': 1, 'admit': 1, 'bring': 1, 'fitted': 1, 'pour': 1, 'bless': 1, 'involve': 1, 'cheap': 1}"
