song,artist,counter,Vader,TextBlob,VaderBoost,TextBlobBoost,VaderPolarity,TextBlobPolarity,VaderBoostPolarity,TextBlobBoostPolarity,,FullTextBlobPolarity,FullVaderPolarity
Off My Face,Justin Bieber,"{'ooh': 38, 'sober': 2, 'follow': 1, 'speak': 1, 'late': 1}","{'pos': 0, 'neg': 0, 'neu': 43}","{'pos': 0, 'neg': 1, 'neu': 42}","{'pos': 0, 'neg': 0, 'neu': 33.8}","{'pos': 0, 'neg': 1.2, 'neu': 33.6}",1,0.976798144,1,0.965616046,,1.0509684,1.03058104
2 Much,Justin Bieber,"{'asleep': 4, 'long': 3, 'hear': 2, 'forget': 1, 'suppose': 1, 'relive': 1, 'big': 1, 'pray': 1}","{'pos': 1, 'neg': 1, 'neu': 12}","{'pos': 0, 'neg': 0, 'neu': 14}","{'pos': 0.8, 'neg': 0.8, 'neu': 6.8}","{'pos': 0, 'neg': 0, 'neu': 13.2}",1,1,1,1,,1.118343195,1.059171598
Deserve You,Justin Bieber,"{'deserve': 15, 'believe': 2, 'asleep': 2, 'hard': 1, 'tend': 1, 'alive': 1, 'new': 1, 'belong': 1, 'live': 1, 'breathe': 1}","{'pos': 1, 'neg': 1, 'neu': 24}","{'pos': 2, 'neg': 1, 'neu': 23}","{'pos': 0.2, 'neg': 0.2, 'neu': 17.5}","{'pos': 2.0, 'neg': 1.2, 'neu': 19.6}",1,1.041493776,1,1.038277512,,1.0297442,1.087445347
Die For You,Justin Bieber Featuring Dominic Fike,"{'lose': 1, 'displace': 1}","{'pos': 0, 'neg': 1, 'neu': 1}","{'pos': 0, 'neg': 0, 'neu': 2}","{'pos': 0, 'neg': 0.8, 'neu': 0.8}","{'pos': 0, 'neg': 0, 'neu': 1.6}",0.523809524,1,0.529411765,1,,1.02855783,1.14015844
Love You Different,Justin Bieber Featuring BEAM,"{'different': 12, 'drown': 2, 'remember': 2, 'ooh': 2, 'foreign': 1, 'new': 1, 'easy': 1, 'beautiful': 1, 'bright': 1, 'usual': 1}","{'pos': 3, 'neg': 2, 'neu': 19}","{'pos': 4, 'neg': 2, 'neu': 18}","{'pos': 0.7, 'neg': 1.6, 'neu': 6.8}","{'pos': 4.8, 'neg': 2.4, 'neu': 19.2}",1.047393365,1.099502488,0.894117647,1.110599078,,1.121341899,1.183066362
Loved By You,Justin Bieber Featuring Burna Boy,"{'remember': 1, 'different': 1, 'walked': 1}","{'pos': 0, 'neg': 0, 'neu': 3}","{'pos': 0, 'neg': 0, 'neu': 3}","{'pos': 0, 'neg': 0, 'neu': 1.8}","{'pos': 0, 'neg': 0, 'neu': 2.8}",1,1,1,1,,1.034458994,1.111028868
Somebody,Justin Bieber,"{'defend': 4, 'easy': 2, 'weak': 2, 'strong': 2, 'remind': 2, 'got': 2, 'grateful': 1, 'ooh': 1, 'believe': 1}","{'pos': 5, 'neg': 2, 'neu': 10}","{'pos': 4, 'neg': 2, 'neu': 11}","{'pos': 1.2, 'neg': 0.5, 'neu': 8.0}","{'pos': 4.8, 'neg': 2.4, 'neu': 9.2}",1.247933884,1.152671756,1.081395349,1.205128205,,1.058105752,1.093691443
Neighbors,Pooh Shiesty Featuring BIG30,"{'rehearse': 3, 'bless': 3, 'thank': 3, 'sure': 2, 'big': 1, 'bring': 1, 'deserve': 1, 'include': 1, 'mixed': 1, 'customize': 1, 'lose': 1, 'remember': 1, 'loud': 1, 'ran': 1}","{'pos': 8, 'neg': 1, 'neu': 12}","{'pos': 2, 'neg': 0, 'neu': 19}","{'pos': 5.3, 'neg': 0.8, 'neu': 8.5}","{'pos': 2.4, 'neg': 0, 'neu': 16.0}",1.534351145,1.104712042,1.478723404,1.149068323,,1.031323414,1.061094141
Beers And Sunshine,Darius Rucker,"{'sit': 1, 'owe': 1, 'buzzed': 1, 'toasted': 1}","{'pos': 0, 'neg': 0, 'neu': 4}","{'pos': 0, 'neg': 0, 'neu': 4}","{'pos': 0, 'neg': 0, 'neu': 3.2}","{'pos': 0, 'neg': 0, 'neu': 3.2}",1,1,1,1,,1,1.112508273
Throat Baby (Go Baby),BRS Kash,"{'sexy': 14, 'ooh': 6, 'got': 1, 'believe': 1, 'hungry': 1, 'eat': 1, 'anoint': 1, 'ask': 1, 'spend': 1, 'excite': 1, 'tighten': 1}","{'pos': 15, 'neg': 0, 'neu': 14}","{'pos': 14, 'neg': 0, 'neu': 15}","{'pos': 4.2, 'neg': 0, 'neu': 10.6}","{'pos': 16.8, 'neg': 0, 'neu': 12.4}",2.063829787,1.927152318,1.392523364,2.344,,1.09936766,1.084612974
On The Ground,ROSE,"{'hear': 6, 'seem': 2, 'worked': 2, 'realise': 2, 'send': 1}","{'pos': 0, 'neg': 0, 'neu': 13}","{'pos': 0, 'neg': 0, 'neu': 13}","{'pos': 0, 'neg': 0, 'neu': 10.4}","{'pos': 0, 'neg': 0, 'neu': 10.4}",1,1,1,1,,1.074274139,1.006618134
Like I Want You,Giveon,"{'ooh': 18, 'seem': 2, 'believe': 2, 'happy': 1, 'hard': 1}","{'pos': 1, 'neg': 1, 'neu': 22}","{'pos': 1, 'neg': 1, 'neu': 22}","{'pos': 0.2, 'neg': 0.2, 'neu': 17.6}","{'pos': 1.2, 'neg': 1.2, 'neu': 17.6}",1,1,1,1,,1.056214866,1.065316786
Daywalker!,Machine Gun Kelly & CORPSE,"{'bloody': 2, 'wanted': 1, 'pray': 1, 'heard': 1, 'borrow': 1, 'invisible': 1, 'create': 1, 'hyperventilate': 1, 'angry': 1}","{'pos': 2, 'neg': 3, 'neu': 5}","{'pos': 0, 'neg': 3, 'neu': 7}","{'pos': 1.6, 'neg': 1.8, 'neu': 3.4}","{'pos': 0, 'neg': 2.8, 'neu': 6.0}",0.87654321,0.702970297,0.962264151,0.685393258,,0.985514244,0.76011994
Opp Stoppa,YBN Nahmir Featuring 21 Savage,"{'new': 4, 'big': 3, 'remember': 1, 'loud': 1}","{'pos': 0, 'neg': 0, 'neu': 9}","{'pos': 4, 'neg': 0, 'neu': 5}","{'pos': 0, 'neg': 0, 'neu': 2.7}","{'pos': 4.8, 'neg': 0, 'neu': 5.6}",1,1.784313725,1,1.842105263,,1.043290043,1.011853023
Still Trappin',Lil Durk & King Von,"{'nailed': 2, 'sure': 2, 'slow': 1, 'loose': 1}","{'pos': 2, 'neg': 1, 'neu': 3}","{'pos': 2, 'neg': 1, 'neu': 3}","{'pos': 0.5, 'neg': 0.8, 'neu': 2.4}","{'pos': 2.4, 'neg': 0.8, 'neu': 2.4}",1.243902439,1.243902439,0.909090909,1.484848485,,1.02841643,0.844260236
Finesse Out The Gang Way,Lil Durk Featuring Lil Baby,"{'remember': 6, 'rid': 2, 'long': 2, 'big': 2, 'stuck': 1, 'different': 1, 'blunt': 1, 'quit': 1, 'asked': 1, 'useless': 1, 'got': 1, 'swear': 1, 'motivate': 1, 'realest': 1, 'happy': 1, 'invent': 1, 'serious': 1, 'pronounce': 1}","{'pos': 2, 'neg': 2, 'neu': 22}","{'pos': 1, 'neg': 2, 'neu': 23}","{'pos': 1.0, 'neg': 1.0, 'neu': 14.8}","{'pos': 1.2, 'neg': 2.4, 'neu': 20.0}",1,0.960159363,1,0.946666667,,1,1
Undivided,Tim McGraw & Tyler Hubbard,"{'hateful': 4, 'long': 4, 'reunite': 3, 'picked': 1, 'hard': 1, 'learn': 1}","{'pos': 0, 'neg': 5, 'neu': 9}","{'pos': 0, 'neg': 1, 'neu': 13}","{'pos': 0, 'neg': 1.2, 'neu': 7.2}","{'pos': 0, 'neg': 1.2, 'neu': 12.0}",0.645390071,0.929078014,0.858823529,0.909774436,,1.07466973,1.157133878
Golden,Harry Styles,"{'broken': 2, 'bright': 1, 'hopeless': 1}","{'pos': 1, 'neg': 3, 'neu': 0}","{'pos': 1, 'neg': 2, 'neu': 1}","{'pos': 0.2, 'neg': 1.8, 'neu': 0}","{'pos': 1.2, 'neg': 1.6, 'neu': 1.2}",0.35483871,0.677419355,0.157894737,0.862068966,,1.625931446,0.936421435
Lifestyle,Jason Derulo Featuring Adam Levine,"{'ooh': 12, 'got': 2, 'broke': 2, 'bright': 1, 'coldest': 1}","{'pos': 1, 'neg': 2, 'neu': 15}","{'pos': 1, 'neg': 0, 'neu': 17}","{'pos': 0.2, 'neg': 1.6, 'neu': 11.4}","{'pos': 1.2, 'neg': 0, 'neu': 14.0}",0.941520468,1.058479532,0.893129771,1.085106383,,1.005125577,1.032068413
Moonwalking In Calabasas,DDG,"{'spend': 2, 'easy': 2, 'vanish': 2, 'hard': 1, 'admit': 1, 'big': 1, 'numb': 1, 'live': 1, 'thank': 1, 'owe': 1, 'humble': 1, 'send': 1, 'told': 1, 'sit': 1, 'busy': 1}","{'pos': 4, 'neg': 2, 'neu': 12}","{'pos': 3, 'neg': 3, 'neu': 12}","{'pos': 2.1, 'neg': 1.0, 'neu': 9.0}","{'pos': 3.2, 'neg': 2.8, 'neu': 10.0}",1.141843972,1,1.108910891,1.031007752,,0.954241464,0.965397924
Tyler Herro,Jack Harlow,"{'brings': 2, 'reenact': 2, 'occur': 2, 'fantasize': 2, 'big': 2, 'bring': 2, 'woo': 2, 'ooh': 2, 'madden': 1, 'all': 1, 'lose': 1, 'shut': 1, 'many': 1, 'sew': 1}","{'pos': 2, 'neg': 1, 'neu': 19}","{'pos': 1, 'neg': 0, 'neu': 21}","{'pos': 1.6, 'neg': 0.8, 'neu': 13.0}","{'pos': 1.2, 'neg': 0, 'neu': 18.0}",1.049751244,1.047393365,1.057553957,1.066298343,,0.979028312,1.08523828
Somebody's Problem,Morgan Wallen,"{'drown': 3, 'ooh': 2, 'lose': 1}","{'pos': 0, 'neg': 4, 'neu': 2}","{'pos': 0, 'neg': 0, 'neu': 6}","{'pos': 0, 'neg': 3.2, 'neu': 1.6}","{'pos': 0, 'neg': 0, 'neu': 4.8}",0.344262295,1,0.346938776,1,,1.048750762,0.939061548
Cover Me Up,Morgan Wallen,"{'sure': 1, 'tried': 1, 'flew': 1, 'meant': 1, 'sober': 1, 'swore': 1, 'sing': 1, 'wide': 1}","{'pos': 1, 'neg': 0, 'neu': 7}","{'pos': 1, 'neg': 0, 'neu': 7}","{'pos': 0.2, 'neg': 0, 'neu': 5.0}","{'pos': 1.2, 'neg': 0, 'neu': 6.0}",1.14084507,1.14084507,1.039215686,1.196721311,,1.033030553,1.097259063
Life's A Mess II,"Juice WRLD, Clever & Post Malone","{'remember': 7, 'learn': 1, 'live': 1, 'belong': 1, 'accept': 1, 'forbidden': 1, 'deserve': 1, 'choose': 1, 'forgot': 1, 'swear': 1, 'slow': 1}","{'pos': 1, 'neg': 1, 'neu': 15}","{'pos': 1, 'neg': 1, 'neu': 15}","{'pos': 0.8, 'neg': 0.8, 'neu': 12.0}","{'pos': 0.8, 'neg': 0.8, 'neu': 12.0}",1,1,1,1,,1.052608505,0.995672869
AP,Pop Smoke,"{'woo': 3, 'hear': 2, 'bring': 1, 'hot': 1, 'spent': 1}","{'pos': 3, 'neg': 0, 'neu': 5}","{'pos': 1, 'neg': 0, 'neu': 7}","{'pos': 2.4, 'neg': 0, 'neu': 3.4}","{'pos': 1.2, 'neg': 0, 'neu': 5.6}",1.588235294,1.14084507,1.685714286,1.210526316,,1.018443379,0.947780679
I Hope,Gabby Barrett Featuring Charlie Puth,"{'happy': 3, 'spend': 3, 'hear': 1, 'sing': 1, 'forgive': 1, 'forget': 1}","{'pos': 4, 'neg': 1, 'neu': 5}","{'pos': 3, 'neg': 0, 'neu': 7}","{'pos': 1.5, 'neg': 0.8, 'neu': 4.0}","{'pos': 3.6, 'neg': 0, 'neu': 5.6}",1.491803279,1.422535211,1.142857143,1.631578947,,1.048756704,1.37308461
Bang!,AJR,"{'grow': 3, 'comfortable': 1, 'thank': 1, 'ooh': 1}","{'pos': 2, 'neg': 0, 'neu': 4}","{'pos': 1, 'neg': 0, 'neu': 5}","{'pos': 1.0, 'neg': 0, 'neu': 3.2}","{'pos': 1.2, 'neg': 0, 'neu': 4.0}",1.487804878,1.196078431,1.303030303,1.292682927,,1.018596002,1.009564802
Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,"{'new': 3, 'believe': 2, 'thank': 2, 'near': 1, 'grow': 1, 'big': 1, 'bless': 1, 'remember': 1, 'stuck': 1, 'loyal': 1, 'detain': 1}","{'pos': 4, 'neg': 2, 'neu': 9}","{'pos': 4, 'neg': 0, 'neu': 11}","{'pos': 2.6, 'neg': 1.6, 'neu': 5.0}","{'pos': 4.8, 'neg': 0, 'neu': 9.2}",1.18018018,1.36036036,1.149253731,1.516129032,,1.029306415,0.97980478
Lonely,Justin Bieber & benny blanco,"{'strange': 1, 'early': 1, 'criticized': 1}","{'pos': 0, 'neg': 2, 'neu': 1}","{'pos': 0, 'neg': 0, 'neu': 3}","{'pos': 0, 'neg': 1.0, 'neu': 0.2}","{'pos': 0, 'neg': 0, 'neu': 3.2}",0.35483871,1,0.230769231,1,,0.978746015,0.977802442
Laugh Now Cry Later,Drake Featuring Lil Durk,"{'slow': 4, 'listen': 2, 'hard': 2, 'tired': 1, 'react': 1, 'please': 1, 'sit': 1, 'relax': 1, 'ooh': 1, 'bring': 1, 'forgot': 1, 'believe': 1}","{'pos': 2, 'neg': 3, 'neu': 12}","{'pos': 0, 'neg': 7, 'neu': 10}","{'pos': 1.6, 'neg': 1.3, 'neu': 9.6}","{'pos': 0, 'neg': 6.4, 'neu': 8.0}",0.933774834,0.590643275,1.027272727,0.55862069,,0.957870548,0.967754938
Only Wanna Be With You,Post Malone,"{'different': 1, 'sing': 1, 'ask': 1, 'meant': 1, 'inherit': 1}","{'pos': 0, 'neg': 0, 'neu': 5}","{'pos': 0, 'neg': 0, 'neu': 5}","{'pos': 0, 'neg': 0, 'neu': 3.4}","{'pos': 0, 'neg': 0, 'neu': 4.4}",1,1,1,1,,1.00999001,1.032223416
Hole In The Bottle,Kelsea Ballerini,"{'swear': 2, 'many': 1, 'learn': 1, 'enjoy': 1, 'relaxes': 1, 'congenial': 1, 'cheerful': 1, 'unwind': 1, 'vanish': 1, 'sipping': 1, 'new': 1, 'broken': 1, 'ask': 1}","{'pos': 3, 'neg': 1, 'neu': 10}","{'pos': 4, 'neg': 1, 'neu': 9}","{'pos': 1.8, 'neg': 0.8, 'neu': 6.3}","{'pos': 4.4, 'neg': 0.8, 'neu': 7.6}",1.18018018,1.297029703,1.138888889,1.423529412,,1.045420136,0.931350114
Test Drive,Ariana Grande,{'recline': 1},"{'pos': 0, 'neg': 0, 'neu': 1}","{'pos': 0, 'neg': 0, 'neu': 1}","{'pos': 0, 'neg': 0, 'neu': 0.8}","{'pos': 0, 'neg': 0, 'neu': 0.8}",1,1,1,1,,1.014275517,0.964564139
Hit Bout It,Lil Yachty Featuring Kodak Black,"{'new': 4, 'big': 2, 'woke': 1, 'unlikely': 1, 'cheap': 1, 'ooh': 1, 'excite': 1, 'shut': 1, 'eat': 1, 'marry': 1, 'burnt': 1, 'long': 1, 'bought': 1, 'bright': 1, 'sudden': 1, 'punish': 1, 'decide': 1, 'ugly': 1, 'scoot': 1, 'nearsighted': 1}","{'pos': 2, 'neg': 2, 'neu': 20}","{'pos': 6, 'neg': 2, 'neu': 16}","{'pos': 1.0, 'neg': 1.0, 'neu': 10.4}","{'pos': 7.2, 'neg': 2.4, 'neu': 14.4}",1,1.220994475,1,1.284023669,,0.99022244,0.982055883
Chicken Tendies,Clinton Kane,"{'deserve': 3, 'lose': 3, 'choose': 3, 'swear': 1, 'honest': 1}","{'pos': 1, 'neg': 3, 'neu': 7}","{'pos': 1, 'neg': 0, 'neu': 10}","{'pos': 0.2, 'neg': 2.4, 'neu': 5.6}","{'pos': 1.2, 'neg': 0, 'neu': 8.0}",0.801980198,1.099009901,0.728395062,1.148148148,,1.076873799,1.130944176
ZaZa,6ix9ine,"{'insane': 2, 'hear': 1, 'hot': 1, 'reminisce': 1, 'caught': 1}","{'pos': 0, 'neg': 2, 'neu': 4}","{'pos': 1, 'neg': 2, 'neu': 3}","{'pos': 0, 'neg': 0.5, 'neu': 2.6}","{'pos': 1.2, 'neg': 2.4, 'neu': 2.4}",0.672131148,0.803921569,0.84375,0.755102041,,0.930727363,0.855072464
Afterglow,Ed Sheeran,"{'disappear': 2, 'tight': 2, 'bright': 2, 'amaze': 1, 'reflect': 1, 'bury': 1, 'new': 1, 'lose': 1, 'except': 1}","{'pos': 3, 'neg': 3, 'neu': 6}","{'pos': 3, 'neg': 2, 'neu': 7}","{'pos': 1.3, 'neg': 2.4, 'neu': 3.1}","{'pos': 3.6, 'neg': 2.4, 'neu': 5.6}",1,1.10989011,0.803571429,1.148148148,,1.067243036,1.04995005
Monster,Shawn Mendes & Justin Bieber,"{'please': 3, 'rearrange': 1, 'big': 1}","{'pos': 3, 'neg': 0, 'neu': 2}","{'pos': 0, 'neg': 0, 'neu': 5}","{'pos': 2.4, 'neg': 0, 'neu': 1.0}","{'pos': 0, 'neg': 0, 'neu': 4.4}",2.428571429,1,3.181818182,1,,0.903672486,1.106595603
Before You Go,Lewis Capaldi,"{'worthless': 3, 'troubled': 2, 'heal': 2, 'replace': 1, 'hear': 1}","{'pos': 0, 'neg': 5, 'neu': 4}","{'pos': 0, 'neg': 5, 'neu': 4}","{'pos': 0, 'neg': 2.3, 'neu': 3.2}","{'pos': 0, 'neg': 5.2, 'neu': 3.2}",0.450549451,0.450549451,0.589285714,0.388235294,,0.935760171,0.925980755
What It Feels Like,Nipsey Hussle & JAY-Z,"{'pray': 2, 'survive': 1, 'successful': 1, 'tight': 1, 'sift': 1, 'late': 1, 'become': 1, 'expect': 1, 'lose': 1, 'extinct': 1, 'burnt': 1, 'arrive': 1, 'assassinate': 1, 'clarify': 1, 'big': 1, 'woo': 1}","{'pos': 4, 'neg': 1, 'neu': 12}","{'pos': 1, 'neg': 3, 'neu': 13}","{'pos': 2.6, 'neg': 0.8, 'neu': 7.4}","{'pos': 1.2, 'neg': 3.6, 'neu': 10.8}",1.229007634,0.875776398,1.21686747,0.834482759,,1,1.18964836
So Done,The Kid LAROI,"{'numb': 6, 'realize': 5, 'bring': 2, 'finished': 1, 'sit': 1}","{'pos': 0, 'neg': 6, 'neu': 9}","{'pos': 0, 'neg': 6, 'neu': 9}","{'pos': 0, 'neg': 4.8, 'neu': 7.2}","{'pos': 0, 'neg': 4.8, 'neu': 7.2}",0.602649007,0.602649007,0.603305785,0.603305785,,0.971988796,1.010298661
Happy Does,Kenny Chesney,"{'happy': 14, 'live': 4, 'slow': 3, 'sure': 1, 'long': 1}","{'pos': 15, 'neg': 0, 'neu': 8}","{'pos': 19, 'neg': 3, 'neu': 1}","{'pos': 3.6, 'neg': 0, 'neu': 6.4}","{'pos': 21.2, 'neg': 2.4, 'neu': 0.8}",2.851851852,4.902439024,1.553846154,6.696969697,,1.180315552,1.167760759
"Big, Big Plans",Chris Lane,"{'big': 18, 'got': 3, 'ask': 2, 'comfy': 1, 'understand': 1, 'bought': 1, 'hid': 1, 'new': 1, 'marry': 1}","{'pos': 0, 'neg': 1, 'neu': 28}","{'pos': 1, 'neg': 0, 'neu': 28}","{'pos': 0, 'neg': 0.8, 'neu': 11.2}","{'pos': 1.2, 'neg': 0, 'neu': 30.0}",0.965635739,1.035587189,0.933884298,1.03986711,,0.960715845,1.155700653
Back To The Streets,Saweetie Featuring Jhene Aiko,"{'new': 5, 'big': 1, 'own': 1, 'knew': 1, 'send': 1, 'stuck': 1, 'consider': 1, 'bless': 1, 'ooh': 1}","{'pos': 1, 'neg': 1, 'neu': 11}","{'pos': 6, 'neg': 0, 'neu': 7}","{'pos': 0.8, 'neg': 0.8, 'neu': 5.4}","{'pos': 6.8, 'neg': 0, 'neu': 6.0}",1,1.845070423,1,2.114754098,,1.055729711,1.098504196
Bad Boy,Juice WRLD & Young Thug,"{'ooh': 4, 'blunt': 4, 'got': 3, 'please': 3, 'sad': 3, 'breathe': 3, 'futuristic': 1, 'long': 1, 'live': 1}","{'pos': 3, 'neg': 3, 'neu': 17}","{'pos': 1, 'neg': 3, 'neu': 19}","{'pos': 2.4, 'neg': 0.7, 'neu': 13.0}","{'pos': 0.8, 'neg': 3.6, 'neu': 15.6}",1,0.909502262,1.123188406,0.85492228,,1,1.057027843
Kings & Queens,Ava Max,"{'tame': 2, 'weak': 2, 'live': 1, 'behaves': 1, 'big': 1, 'disobey': 1, 'forget': 1, 'stronger': 1, 'breathe': 1, 'alive': 1}","{'pos': 2, 'neg': 3, 'neu': 7}","{'pos': 1, 'neg': 4, 'neu': 7}","{'pos': 0.5, 'neg': 1.3, 'neu': 5.0}","{'pos': 0.8, 'neg': 4.0, 'neu': 6.8}",0.900990099,0.72972973,0.875,0.706422018,,1.014174344,0.941219691
Rockstar,DaBaby Featuring Roddy Ricch,"{'woo': 15, 'new': 3, 'earn': 1, 'hear': 1, 'big': 1, 'long': 1, 'different': 1, 'suburban': 1, 'lose': 1, 'caught': 1, 'choose': 1, 'write': 1}","{'pos': 15, 'neg': 1, 'neu': 12}","{'pos': 3, 'neg': 0, 'neu': 25}","{'pos': 12.0, 'neg': 0.8, 'neu': 6.2}","{'pos': 3.6, 'neg': 0, 'neu': 21.2}",2.06870229,1.119521912,2.577464789,1.169014085,,1.026777745,1.141330576
GNF (OKOKOK),Polo G,"{'harry': 6, 'slow': 3, 'spent': 1, 'woo': 1, 'direct': 1, 'owe': 1, 'sure': 1}","{'pos': 2, 'neg': 0, 'neu': 12}","{'pos': 1, 'neg': 3, 'neu': 10}","{'pos': 1.0, 'neg': 0, 'neu': 9.6}","{'pos': 1.2, 'neg': 2.4, 'neu': 8.0}",1.165289256,0.847328244,1.103092784,0.885714286,,1.024618415,0.995076317
Provide,G-Eazy Featuring Chris Brown & Mark Morrison,"{'ooh': 5, 'woo': 2, 'furl': 1, 'bring': 1, 'different': 1, 'write': 1, 'sing': 1, 'seem': 1, 'boxed': 1, 'serious': 1, 'eat': 1, 'spent': 1, 'tucked': 1, 'scared': 1, 'reside': 1, 'collide': 1, 'relax': 1, 'easy': 1}","{'pos': 4, 'neg': 1, 'neu': 18}","{'pos': 1, 'neg': 1, 'neu': 21}","{'pos': 2.6, 'neg': 0.8, 'neu': 13.3}","{'pos': 1.2, 'neg': 1.2, 'neu': 17.2}",1.157068063,1,1.126760563,1,,1.022547914,1.104796453
865,Morgan Wallen,"{'different': 2, 'loud': 1, 'drown': 1, 'colder': 1}","{'pos': 0, 'neg': 1, 'neu': 4}","{'pos': 0, 'neg': 0, 'neu': 5}","{'pos': 0, 'neg': 0.8, 'neu': 1.0}","{'pos': 0, 'neg': 0, 'neu': 5.6}",0.803921569,1,0.578947368,1,,1,1.107836089
Box Of Churches,Pooh Shiesty Featuring 21 Savage,"{'big': 4, 'remember': 3, 'dirty': 3, 'eat': 3, 'extend': 3, 'bake': 3, 'rob': 2, 'choose': 1, 'live': 1, 'different': 1, 'booked': 1, 'indict': 1, 'write': 1}","{'pos': 3, 'neg': 5, 'neu': 19}","{'pos': 1, 'neg': 3, 'neu': 23}","{'pos': 2.4, 'neg': 4.0, 'neu': 12.4}","{'pos': 0.8, 'neg': 2.4, 'neu': 20.4}",0.917012448,0.923371648,0.903030303,0.930131004,,1,0.972074839
Dangerous,Morgan Wallen,"{'dangerous': 8, 'ooh': 3, 'loose': 3, 'long': 1, 'many': 1, 'strong': 1, 'ruined': 1}","{'pos': 1, 'neg': 12, 'neu': 5}","{'pos': 2, 'neg': 8, 'neu': 8}","{'pos': 0.2, 'neg': 5.1, 'neu': 3.4}","{'pos': 2.4, 'neg': 9.6, 'neu': 6.4}",0.356725146,0.627329193,0.430232558,0.552795031,,0.980013324,0.920582396
Warning,Morgan Wallen,"{'ooh': 18, 'sit': 3, 'near': 1, 'loud': 1, 'drown': 1, 'send': 1}","{'pos': 0, 'neg': 1, 'neu': 24}","{'pos': 0, 'neg': 0, 'neu': 25}","{'pos': 0, 'neg': 0.8, 'neu': 18.6}","{'pos': 0, 'neg': 0, 'neu': 20.4}",0.960159363,1,0.958974359,1,,1.076863951,1
Still Goin Down,Morgan Wallen,"{'southern': 4, 'big': 3, 'choose': 1, 'faded': 1}","{'pos': 0, 'neg': 0, 'neu': 9}","{'pos': 0, 'neg': 0, 'neu': 9}","{'pos': 0, 'neg': 0, 'neu': 3.3}","{'pos': 0, 'neg': 0, 'neu': 10.0}",1,1,1,1,,0.994626545,0.983965794
Skin,Sabrina Carpenter,"{'happy': 2, 'ask': 2, 'write': 1, 'decide': 1, 'believe': 1, 'insane': 1}","{'pos': 2, 'neg': 1, 'neu': 5}","{'pos': 2, 'neg': 1, 'neu': 5}","{'pos': 0.5, 'neg': 0.2, 'neu': 4.0}","{'pos': 2.4, 'neg': 1.2, 'neu': 4.0}",1.163934426,1.163934426,1.069767442,1.226415094,,0.976019185,1.079575597
7 Summers,Morgan Wallen,"{'ooh': 23, 'knew': 3, 'southern': 3, 'sad': 3, 'big': 2, 'long': 1, 'proud': 1, 'dodged': 1}","{'pos': 1, 'neg': 3, 'neu': 33}","{'pos': 1, 'neg': 3, 'neu': 33}","{'pos': 0.2, 'neg': 0.7, 'neu': 23.6}","{'pos': 1.2, 'neg': 3.6, 'neu': 28.4}",0.944598338,0.944598338,0.979508197,0.925233645,,1.005373455,1.067758329
More Than My Hometown,Morgan Wallen,"{'lose': 2, 'likely': 1, 'grow': 1, 'bright': 1, 'big': 1, 'forget': 1}","{'pos': 1, 'neg': 3, 'neu': 3}","{'pos': 1, 'neg': 0, 'neu': 6}","{'pos': 0.2, 'neg': 2.4, 'neu': 1.3}","{'pos': 1.2, 'neg': 0, 'neu': 5.6}",0.672131148,1.163934426,0.421052632,1.210526316,,1.07597896,1.109024833
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne","{'new': 16, 'ooh': 9, 'woo': 3, 'rid': 3, 'eat': 2, 'spend': 2, 'fucked': 1, 'stylish': 1, 'send': 1, 'easy': 1, 'hard': 1, 'follow': 1, 'believe': 1, 'long': 1, 'many': 1, 'strong': 1, 'drown': 1, 'presidential': 1, 'ask': 1, 'haired': 1, 'got': 1}","{'pos': 5, 'neg': 3, 'neu': 42}","{'pos': 20, 'neg': 2, 'neu': 28}","{'pos': 2.9, 'neg': 1.8, 'neu': 22.4}","{'pos': 24.0, 'neg': 2.0, 'neu': 23.2}",1.044345898,1.598006645,1.04526749,1.869565217,,1.021217345,1.030009548
Should've Ducked,Lil Durk Featuring Pooh Shiesty,"{'hot': 2, 'fucked': 1, 'slow': 1, 'ask': 1, 'told': 1, 'survive': 1, 'big': 1, 'send': 1, 'quit': 1, 'prefer': 1, 'unlock': 1, 'pray': 1, 'hear': 1, 'eat': 1, 'consider': 1}","{'pos': 1, 'neg': 1, 'neu': 14}","{'pos': 2, 'neg': 2, 'neu': 12}","{'pos': 0.8, 'neg': 0.8, 'neu': 9.5}","{'pos': 2.4, 'neg': 1.6, 'neu': 10.0}",1,1,1,1.068376068,,0.957503914,0.912575656
Diamonds,Sam Smith,"{'hear': 4, 'breathe': 4, 'become': 2, 'meant': 1, 'lose': 1}","{'pos': 0, 'neg': 1, 'neu': 11}","{'pos': 0, 'neg': 0, 'neu': 12}","{'pos': 0, 'neg': 0.8, 'neu': 8.8}","{'pos': 0, 'neg': 0, 'neu': 9.6}",0.917355372,1,0.917525773,1,,0.951155975,1.530341662
